Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,1.0,1.0,0.9555
H,N,0.8475,0.8354,0.825
H,M,0.749,0.7031,0.6793
H,I,0.6209,0.6123,0.6191
J,A,1.0,1.0,0.9616
J,N,0.8496,0.8447,0.834
J,M,0.7322,0.6736,0.6586
J,I,0.6132,0.6045,0.6102
T,A,0.9795,0.9999,0.7734
T,N,0.7024,0.6873,0.6866
T,M,0.4971,0.5034,0.503
T,I,0.4328,0.4328,0.4328
F,A,1.0,1.0,0.8506
F,N,0.7203,0.7035,0.708
F,M,0.5033,0.5098,0.5132
F,I,0.4711,0.4711,0.4711
E,A,0.5,0.4657,0.4708
E,N,0.5504,0.487,0.497
E,M,0.5476,0.5295,0.5194
E,I,0.509,0.505,0.499
