Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.9958,0.9962,0.996
Metric H,N,0.7466,0.6993,0.7445
Metric H,A,0.4818,0.4928,0.5627
Metric H,M,0.9299,0.9417,0.9421
Metric J,I,0.9945,0.9952,0.9949
Metric J,N,0.7515,0.7024,0.7502
Metric J,A,0.4851,0.4963,0.5606
Metric J,M,0.9299,0.939,0.9394
Metric T,I,1.0,1.0,1.0
Metric T,N,0.9768,0.9765,0.9672
Metric T,A,0.8886,0.8718,0.9358
Metric T,M,0.999,0.9975,0.9972
Metric F,I,1.0,1.0,1.0
Metric F,N,0.974,0.9767,0.9585
Metric F,A,0.8492,0.8339,0.9172
Metric F,M,0.9988,0.9953,0.9958
Metric E,I,0.7275,0.7428,0.7471
Metric E,N,0.6293,0.5843,0.5812
Metric E,A,0.5182,0.5409,0.5487
Metric E,M,0.6778,0.6942,0.7002
