Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.8784,0.8749,0.8771
Metric H,N,0.7893,0.7525,0.7927
Metric H,A,0.616,0.6133,0.6709
Metric H,M,0.8673,0.8583,0.8679
Metric J,I,0.8763,0.8731,0.8748
Metric J,N,0.7924,0.7533,0.7959
Metric J,A,0.6301,0.6202,0.6703
Metric J,M,0.8648,0.8542,0.865
Metric T,I,0.6041,0.6041,0.6041
Metric T,N,0.7211,0.7173,0.7078
Metric T,A,0.8366,0.9053,0.7529
Metric T,M,0.6471,0.6512,0.657
Metric F,I,0.6404,0.6404,0.6404
Metric F,N,0.7273,0.7335,0.7215
Metric F,A,0.8587,0.8847,0.751
Metric F,M,0.653,0.6579,0.6622
Metric E,I,0.6186,0.6232,0.6207
Metric E,N,0.5856,0.5662,0.5605
Metric E,A,0.539,0.5463,0.5459
Metric E,M,0.603,0.6076,0.6059
