Qubit,T1,T2,Frequency (GHz),Anharmonicity (GHz),assigment_error,prob01,prob10,Readout length (ns),id,rz,sx,x,ecr,time,Operational
57,287.1398211,173.5801756,4.927636216,-0.307786118,0.0092,0.0114,0.007,1300,0.00014628,0,0.00014628,0.00014628,0.004486285,660,TRUE
58,232.2674597,129.8529502,4.886914741,-0.30930018,0.0146,0.0172,0.012,1300,0.000175116,0,0.000175116,0.000175116,0.004824408,660,TRUE
59,166.0726342,48.73837956,4.971240984,-0.307626911,0.0121,0.0092,0.015,1300,0.000186097,0,0.000186097,0.000186097,0.004291818,660,TRUE
60,225.1976272,100.7372839,4.766228042,-0.310542485,0.0214,0.0234,0.0194,1300,0.000538363,0,0.000538363,0.000538363,0.012895826,660,TRUE
61,261.1728702,132.1535575,4.793929681,-0.290564028,0.014,0.0166,0.0114,1300,0.000323672,0,0.000323672,0.000323672,0,660,TRUE
62,179.7568848,134.4454968,4.935227578,-0.30799212,0.0104,0.0116,0.0092,1300,0.00034027,0,0.00034027,0.00034027,0.010298833,660,TRUE
63,278.8065009,194.3406844,5.041629381,-0.306946314,0.0099,0.0092,0.0106,1300,0.000162477,0,0.000162477,0.000162477,0.004553918,660,TRUE
64,275.4202587,165.6609391,4.821568152,-0.309671617,0.0103,0.0134,0.0072,1300,0.000200215,0,0.000200215,0.000200215,0,660,TRUE
65,244.4933921,104.3579318,4.957162838,-0.307526241,0.0125,0.0096,0.0154,1300,0.000185586,0,0.000185586,0.000185586,0.006522495,660,TRUE
66,187.8539565,146.846101,4.885003283,-0.30910675,0.0207,0.0312,0.0102,1300,0.001630617,0,0.001630617,0.001630617,0,660,TRUE
67,176.936939,145.6313757,5.113942994,-0.305888986,0.0624,0.0542,0.0706,1300,0.000219955,0,0.000219955,0.000219955,0.009327296,660,TRUE
68,275.4304189,24.50564157,4.743755987,-0.31111459,0.0361,0.039,0.0332,1300,0.00015089,0,0.00015089,0.00015089,0,660,TRUE
69,148.2439955,111.4381687,5.117688308,-0.3044029,0.0128,0.0122,0.0134,1300,0.000318996,0,0.000318996,0.000318996,0.008540432,660,TRUE
70,193.0035808,160.9672986,4.898861336,-0.308239941,0.0629,0.0618,0.064,1300,0.000211161,0,0.000211161,0.000211161,0,660,TRUE
71,210.2493486,249.7618418,4.788249615,-0.309466346,0.0147,0.0184,0.011,1300,0.000134293,0,0.000134293,0.000134293,0,660,TRUE
72,97.54785518,95.69354999,5.059271508,-0.29854587,0.0173,0.0188,0.0158,1300,0.000633852,0,0.000633852,0.000633852,0,660,TRUE
73,242.4092645,242.7414054,4.979584192,-0.307607369,0.0127,0.0174,0.008,1300,0.000323576,0,0.000323576,0.000323576,0.014459643,660,TRUE
74,197.7359677,106.2527503,5.031462603,-0.306742701,0.0125,0.017,0.008,1300,0.0002767,0,0.0002767,0.0002767,0.008185085,660,TRUE
75,206.5892393,75.27973094,5.006083931,-0.306733498,0.0082,0.0084,0.008,1300,0.000176203,0,0.000176203,0.000176203,0.009772432,660,TRUE
76,53.67354704,22.77430003,4.837397959,-0.309482863,0.0118,0.0146,0.009,1300,0.000270861,0,0.000270861,0.000270861,0.007404496,660,TRUE
