Qubit,T1,T2,Frequency (GHz),Anharmonicity (GHz),assigment_error,prob01,prob10,Readout length (ns),id,rz,sx,x,ecr,time,Operational
0,398.7259043,123.6623978,4.635662846,-0.313276039,0.0058,0.0074,0.0042,1216,0.000629816,0,0.000629816,0.000629816,0,533.33,TRUE
1,245.8278302,70.98913353,4.73629687,-0.312918073,0.0215,0.0314,0.0116,1216,0.002179617,0,0.002179617,0.002179617,0.026587039,533.33,TRUE
2,236.2645295,167.783161,4.819178499,-0.311295152,0.0165,0.0146,0.0184,1216,0.000190204,0,0.000190204,0.000190204,0,533.33,TRUE
3,470.8158788,290.2110666,4.747182082,-0.31115347,0.0122,0.0138,0.0106,1216,0.000232585,0,0.000232585,0.000232585,0.005330146,533.33,TRUE
4,365.002128,212.4320741,4.787874619,-0.310945402,0.0193,0.0136,0.025,1216,0.000175924,0,0.000175924,0.000175924,0.00889789,533.33,TRUE
5,203.5801707,129.3292296,4.850837439,-0.310566062,0.045,0.012,0.078,1216,0.000250453,0,0.000250453,0.000250453,0.007980092,533.33,TRUE
6,232.0395876,42.10380124,4.899554268,-0.309055784,0.0812,0.0414,0.121,1216,0.000250232,0,0.000250232,0.000250232,0.00662535,533.33,TRUE
7,241.7113745,21.58456782,4.755796862,-0.311003905,0.0152,0.0148,0.0156,1216,0.000370015,0,0.000370015,0.000370015,0.012476845,533.33,TRUE
8,213.6853721,19.50765102,4.81259534,-0.313345113,0.0671,0.0672,0.067,1216,0.000593851,0,0.000593851,0.000593851,0.014814282,533.33,TRUE
9,285.4665864,51.26975341,4.638198814,-0.292640888,0.0658,0.0588,0.0728,1216,0.000332493,0,0.000332493,0.000332493,0,533.33,TRUE
10,277.8502137,204.6180334,4.804388479,-0.311227426,0.0123,0.0148,0.0098,1216,0.000164891,0,0.000164891,0.000164891,0.00743013,533.33,TRUE
11,233.333264,80.95545569,4.743312141,-0.311794174,0.0073,0.009,0.0056,1216,0.000366268,0,0.000366268,0.000366268,0.005345123,533.33,TRUE
12,371.8815271,390.5731167,4.625936763,-0.313723596,0.0191,0.0218,0.0164,1216,0.000163942,0,0.000163942,0.000163942,0.008278134,533.33,TRUE
13,235.5105643,267.1223314,4.556976803,-0.313778715,0.0349,0.0494,0.0204,1216,0.000120346,0,0.000120346,0.000120346,0,533.33,TRUE
14,237.6152243,69.19331429,4.510048502,-0.315771227,0.025,0.033,0.017,1216,0.000423971,0,0.000423971,0.000423971,0.012646342,533.33,TRUE
15,330.3524406,324.1549975,4.599052212,-0.320449868,0.0778,0.0766,0.079,1216,0.000384024,0,0.000384024,0.000384024,0,533.33,TRUE
16,208.1587941,16.80571898,4.937433915,-0.308831513,0.0698,0.054,0.0856,1216,0.000972012,0,0.000972012,0.000972012,0.022699673,533.33,TRUE
17,367.9181367,74.37336767,4.752796046,-0.311531542,0.0215,0.0242,0.0188,1216,0.000436631,0,0.000436631,0.000436631,0.004238339,533.33,TRUE
18,236.3184428,21.61911993,4.659441384,-0.289259985,0.0467,0.0374,0.056,1216,0.000578469,0,0.000578469,0.000578469,0.015459161,533.33,TRUE
19,518.5234035,87.65338303,4.820724755,-0.311983286,0.0346,0.0308,0.0384,1216,0.000441225,0,0.000441225,0.000441225,0.004279373,533.33,TRUE
20,579.9725698,66.51710329,4.738281537,-0.31196964,0.0581,0.0448,0.0714,1216,0.000205261,0,0.000205261,0.000205261,0.005736957,533.33,TRUE
21,452.9301101,28.46938141,4.773884419,-0.311425423,0.0981,0.0714,0.1248,1216,0.000295712,0,0.000295712,0.000295712,0.00872207,533.33,TRUE
