Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_0,0.028042371858479413,0.1490827555102682,0.027762027048070778,0.14115532675097625,0.0,0.060691675251613175,1.0000000000000102,0.8303678730086959,0.00992066878223452,0.04507691878223452
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_0,0.029304788726097028,0.12053432434999882,0.02928695357879089,0.11685658456412858,0.0,0.05042652051229183,1.0000000000000124,0.8223110309483952,0.010329900776780525,0.003005682026780525
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_1,0.024803377526094975,0.1595909736743828,0.024480653476522094,0.15107043097716316,0.0,0.05885577284752552,1.0000000000000102,0.8301031529667732,0.007061185994416436,0.0027044390055835643
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_1,0.02422746707221884,0.10611282077030434,0.02422215665482465,0.10368342974606723,0.0,0.05853840750357785,1.0000000000000124,0.8139609556131366,0.0081894426033269,0.0033066301033269005
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_2,0.03005745612013693,0.12471429482622481,0.02979160261132979,0.11838704912932396,0.0,0.056903605910132465,1.0000000000000124,0.8336624650959376,0.01490202885726509,0.00511750239273491
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_2,0.03265559843173787,0.135481836642064,0.030445996812422584,0.13339195146851957,0.0,0.05718008684399209,1.000000000000011,0.82320954991982,0.021585284945126904,0.1182649724451269
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_3,0.029192558149525732,0.15966352986763732,0.028880262343894434,0.1510028186076349,0.0,0.0620649882296118,1.0000000000000102,0.8295120915086153,0.004690555071462987,0.04023131992853701
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_3,0.032782766136153,0.11749704421036783,0.032754416813635195,0.11517359404910117,0.0,0.05042710110512874,1.0000000000000115,0.8277362134354285,0.0010176696780886396,0.06205282592808864
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_4,0.028421827861523825,0.15316372011713908,0.028138659409865915,0.1448610300110085,0.0,0.058855743245256685,1.000000000000012,0.830873643597154,0.0046197797444164565,0.010516939005583543
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_4,0.031983468633933115,0.16653605511476546,0.030989784635403975,0.15997790545113688,0.0,0.060229436402330805,1.0000000000000124,0.8303807311865947,0.0010580511448944896,0.08927398010510551
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_5,0.027227855189448463,0.127361142644946,0.02693793813725813,0.12033725350430083,0.0,0.05994444535330885,1.0000000000000093,0.8310121026010998,0.004239487467765382,0.011873793782234618
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_5,0.028251233942555094,0.11612543009499933,0.02741342146834174,0.1115997925452455,0.0,0.04082732738876206,1.0000000000000102,0.8133767063211275,0.0030089856798296427,0.03230586067982964
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_6,0.029970865723123765,0.1686507629792105,0.029667298429916587,0.1593898216364955,0.0,0.06280848413987937,1.000000000000011,0.8275489896574552,0.007138536555987174,0.10088853655598717
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,Quratest_6,0.027255467354602263,0.11079846537851847,0.02724013021774016,0.10894806510811841,0.0,0.05754159596126504,1.0000000000000107,0.8207514554792377,0.00015203812337474115,0.02133233687662526
qftentangled_6_Mutant_Add_ch_P2_Q4_[].qasm,PureState_7,0.025535900030816173,0.15824938369740627,0.02551527562395873,0.14940362303316798,0.0,0.06224442794132214,1.0000000000000129,0.8285345111348166,0.00506849469401266,0.09405259905598734
