Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,PureState_0,0.5515312366149598,0.5531478195490387,0.483172810448315,0.48453970354953857,0.426776695296637,0.42504182211346075,0.1464466094067263,0.14881159678314074,0.8276367187499999,0.8134765624999999,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,Quratest_0,0.6276658385932742,0.6163136713175994,0.5749875899652209,0.5684173682950365,0.6806364416666552,0.6755941503894721,0.1464466094067264,0.14810595580805164,0.7551956897193284,0.7434769397193284,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,PureState_1,0.5542525866485816,0.5498389828143528,0.4855119986242793,0.48175161226657603,0.426776695296637,0.42493624715224754,0.1464466094067262,0.14810226757078437,0.82763671875,0.81396484375,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,Quratest_1,0.5969555103702029,0.5808264531653469,0.5678910522016474,0.555477246876497,0.7296487771056017,0.7215107920113892,0.14644660940672666,0.14700678983647414,0.23720692055026482,0.20742176430026482,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,PureState_2,0.5558247076557646,0.5482248598437037,0.48714232243994626,0.48024475313395437,0.4267766952966371,0.42598817882068196,0.14644660940672646,0.14855394400885827,0.8725585937500001,0.8671875000000001,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,Quratest_2,0.5722640909948472,0.5630695156913217,0.5527624620035282,0.5449374117266829,0.734385460609207,0.7295962654729858,0.45153947811792633,0.4476292768345837,0.3887280674503033,0.4028882237003033,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,PureState_3,0.5553328416224287,0.5554796159792481,0.4867544254265125,0.48651004568350503,0.42677669529663687,0.4259878967452511,0.14644660940672616,0.14855326004365121,0.8725585937499999,0.8671874999999999,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_ry_P0_Q1_[2.356194490192345].qasm,Quratest_3,0.4686054201414491,0.4651048275895433,0.44942069763622977,0.4460345522506936,0.5342530314325147,0.5313619806702841,0.1524410579669998,0.15644398251006317,0.47060981129142465,0.48818793629142465,True,True,True,True,True,True,True,True,True,True
qftentangled_2_Mutant_Add_s_P0_Q1_[].qasm,PureState_0,0.004795585604163666,0.058092801799381824,0.004795575564159045,0.04844395214806016,0.0,0.0037924582945324734,1.0,0.9895312831321066,0.005371093750000111,0.002929687499999889,False,False,False,False,False,False,False,False,False,False
qftentangled_2_Mutant_Add_s_P0_Q1_[].qasm,Quratest_0,0.453337025581028,0.44757882104389124,0.40421317089317294,0.3993928808054742,0.3703839026812038,0.3713351776990887,0.5093654837403174,0.5045647306659888,0.7366410022193284,0.7205277209693284,True,True,True,True,True,True,True,True,True,True
