Metric,Threshold,kyiv,brisbane,sherbrooke
Metric C,0.1,1.0,1.0,1.0
Metric C,0.5,1.0,1.0,1.0
Metric C,0.8,1.0,1.0,1.0
Metric C,A,1.0,1.0,1.0
Metric C,I,1.0,1.0,1.0
Metric C,N,0.9999821086719267,0.9999820904076223,0.9999909952094514
Metric H,0.1,0.0,1.0,0.0
Metric H,0.5,0.0,1.0,0.0
Metric H,0.8,0.0,0.5,0.0
Metric H,A,0.0,0.0,0.0
Metric H,I,0.0,1.0,0.0
Metric H,N,0.0,0.375,0.0
Metric J,0.1,0.0,1.0,0.0
Metric J,0.5,0.0,1.0,0.0
Metric J,0.8,0.0,0.25,0.0
Metric J,A,0.0,0.0,0.0
Metric J,I,0.0,1.0,0.0
Metric J,N,0.0,0.375,0.0
Metric T,0.1,0.0,1.0,0.0
Metric T,0.5,0.0,1.0,0.0
Metric T,0.8,0.0,0.625,0.0
Metric T,A,0.0,0.0,0.0
Metric T,I,0.0,1.0,0.0
Metric T,N,0.0,0.0,0.0
Metric F,0.1,0.0,1.0,0.0
Metric F,0.5,0.0,1.0,0.0
Metric F,0.8,0.0,0.6875,0.0
Metric F,A,0.0,0.3125,0.0
Metric F,I,0.0,1.0,0.0
Metric F,N,0.0,0.3125,0.0
Metric E,0.1,0.0,1.0,0.0
Metric E,0.5,0.0,0.75,0.0
Metric E,0.8,0.0,0.3125,0.0
Metric E,A,0.0,0.4375,0.0
Metric E,I,0.0,1.0,0.0
Metric E,N,0.0,0.4375,0.0
