Metric,Threshold,kyiv,brisbane,sherbrooke
Metric C,0.1,0.9967988304388375,0.996815687987834,0.9963989672509852
Metric C,0.5,0.9967988304388375,0.996815687987834,0.9963989672509852
Metric C,0.8,0.9967988304388375,0.996815687987834,0.9963989672509852
Metric C,A,0.9967988304388375,0.996815687987834,0.9963989672509852
Metric C,I,0.9967988304388375,0.996815687987834,0.9963989672509852
Metric C,N,0.9967397971616069,0.9967650592792384,0.996373395843419
Metric H,0.1,0.864524535282397,0.8644705367630624,0.867979842495545
Metric H,0.5,0.8615958311421332,0.8624871727561273,0.8649789029535865
Metric H,0.8,0.8226080201754713,0.8396376667330281,0.8223720950212638
Metric H,A,0.0,0.0,0.0
Metric H,I,0.864397186059675,0.8643094648013281,0.8678332199361781
Metric H,N,0.7202463508666882,0.7331393050914448,0.7194886608075718
Metric J,0.1,0.8742809724082002,0.8742957630275,0.8775014843842774
Metric J,0.5,0.8704040408835635,0.8712924783165079,0.8733274631036925
Metric J,0.8,0.5963901504448564,0.612795705467551,0.5681368060140128
Metric J,A,0.0,0.0,0.0
Metric J,I,0.8742278347306971,0.8742361373066767,0.8773956917931225
Metric J,N,0.7380413002503226,0.7453252938554301,0.7370195670498771
Metric T,0.1,0.9419958530490723,0.9418153607447634,0.9452063965294856
Metric T,0.5,0.9397077385290928,0.9402060207086792,0.9429219962303177
Metric T,0.8,0.9190926901956455,0.9322280146995984,0.9242342035809201
Metric T,A,0.7899899987430115,0.8064937368005288,0.7923587402662166
Metric T,I,0.9420005405189869,0.9420005405189869,0.9452111041685263
Metric T,N,0.7899899987430115,0.8064937368005288,0.7923587402662166
Metric F,0.1,0.9781727778039273,0.9780190609934665,0.9787837148807826
Metric F,0.5,0.9773071104387292,0.9773027274441568,0.9779151140598019
Metric F,0.8,0.9717431793881282,0.9708769704109329,0.972362990439371
Metric F,A,0.9178692467475675,0.9220531801975886,0.918918918918919
Metric F,I,0.9781771501925546,0.9781771501925546,0.9787881275737057
Metric F,N,0.9178692467475675,0.9220531801975886,0.918918918918919
Metric E,0.1,0.895227830223742,0.9060435650836642,0.9003518530616816
Metric E,0.5,0.730995711139446,0.7721690310291243,0.7281899524652811
Metric E,0.8,0.5167154259096203,0.4154909300316729,0.2563198812756126
Metric E,A,0.7078244115933067,0.6938642778255001,0.7001030409048429
Metric E,I,0.9108522535506763,0.9108522535506763,0.9139519601490733
Metric E,N,0.7078244115933067,0.6938642778255001,0.7001030409048429
