Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.9964627291058815,0.9967894378136635,0.9966231287446283
Metric H,N,0.7629690545122735,0.7198756329595187,0.7588755809291479
Metric H,A,0.5092318264258919,0.5192154963134861,0.588128998740732
Metric H,M,0.9379738422196938,0.9486760655405291,0.949262227040946
Metric J,I,0.9953232369278563,0.9959353483946878,0.9956550443806181
Metric J,N,0.7675012803412743,0.7235642828592178,0.7642325510532285
Metric J,A,0.5138473833201078,0.5244245027557437,0.5868567913913451
Metric J,M,0.9382228300325854,0.9465684094376481,0.9470366838395865
Metric T,I,1.0,1.0,1.0
Metric T,N,0.9828701055713358,0.9809409324013844,0.9732715401655591
Metric T,A,0.9125376867371768,0.9014473645943405,0.94867086393844
Metric T,M,0.9991856756468547,0.9980902155051234,0.9978916482064436
Metric F,I,1.0,1.0,1.0
Metric F,N,0.9799294721287994,0.9814977654087081,0.9674655667405604
Metric F,A,0.885741222543536,0.876313332305935,0.936257586219428
Metric F,M,0.9990934720925384,0.9957030577186319,0.9965657593487662
Metric E,I,0.7307056526975952,0.7434758421415346,0.7484588268707085
Metric E,N,0.6333679445113594,0.5862899275139699,0.584025260203485
Metric E,A,0.5231299580512523,0.5429560683178757,0.5518652789147468
Metric E,M,0.6810981434564107,0.6959655255444755,0.7024241107974005
