Metric,Threshold,kyiv,brisbane,sherbrooke
Metric C,0.1,0.9803084561622033,0.9797764860563283,0.9791855046254434
Metric C,0.5,0.9803084561622033,0.9797764860563283,0.9791855046254434
Metric C,0.8,0.9803084561622033,0.9797764860563283,0.9791855046254434
Metric C,A,0.9803084561622033,0.9797764860563283,0.9791855046254434
Metric C,I,0.9803084561622033,0.9797764860563283,0.9791855046254434
Metric C,N,0.9803410152600436,0.9798260297851541,0.979206155986436
Metric H,0.1,0.38062316671137225,0.3806837355391924,0.3835285829832755
Metric H,0.5,0.38074159441927063,0.38074532539433825,0.3836622908080635
Metric H,0.8,0.395756316076179,0.38163429361948736,0.39810502478208853
Metric H,A,0.0,0.0,0.0
Metric H,I,0.38063354526529003,0.380681965737238,0.38351879725414795
Metric H,N,0.39820396885204723,0.39716069729736975,0.400199411595363
Metric J,0.1,0.3883318258732089,0.3884179874262819,0.3910687650299839
Metric J,0.5,0.3884996978904875,0.38853622758150985,0.3912536057956973
Metric J,0.8,0.40529383900000965,0.4038839950714456,0.40621841559605304
Metric J,A,0.0,0.0,0.0
Metric J,I,0.38833148654731814,0.3884190937811053,0.39108286350664717
Metric J,N,0.4046038010317471,0.40302897307070007,0.4059097978227061
Metric T,0.1,0.4450879051964622,0.44531757371087155,0.4481135151349166
Metric T,0.5,0.4451345215417134,0.4452796739418535,0.4481520988345151
Metric T,0.8,0.44746593879392105,0.445820928682515,0.44882315973926484
Metric T,A,0.46363214735307756,0.46334525927768316,0.46554175124470215
Metric T,I,0.44509030516919246,0.44518977925403086,0.4481159143075746
Metric T,N,0.46363214735307756,0.46334525927768316,0.46554175124470215
Metric F,0.1,0.4786367666457626,0.47888037407455514,0.47925714360238403
Metric F,0.5,0.4788737892714157,0.47894319064122526,0.4794911145602623
Metric F,0.8,0.47864323812197346,0.47862170165279816,0.4792549322164664
Metric F,A,0.47622070002587624,0.4766005676699377,0.4769229261023861
Metric F,I,0.478639021521002,0.4787168708047886,0.47925940738679834
Metric F,N,0.47622070002587624,0.4766005676699377,0.4769229261023861
Metric E,0.1,0.41703747098782273,0.41814521423257034,0.41982118909253463
Metric E,0.5,0.4265798282332059,0.4310808814556478,0.4268418359120321
Metric E,0.8,0.4310617096549107,0.4194365305476417,0.3941095088596818
Metric E,A,0.42725048198131393,0.43949790929301197,0.4261629909116771
Metric E,I,0.41798145457061797,0.4181155283371393,0.42085883703136956
Metric E,N,0.42725048198131393,0.43949790929301197,0.4261629909116771
