,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
0,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_0,0.0,0.0,0.36166066253666046,0.8160950500374275,0.3449311033419445,0.7313657467845109,0.35375460535981307,0.9282979539458158,0.18937506150082006,0.03532087604803287,0.26171875,1.04150390625,True,True,True,False,True,False,True,True,True,False,True,True
1,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_0,0.0,0.0,0.1983511487298857,0.8603188396953549,0.1966634827595322,0.7581680312733478,0.22880879017861186,0.9453270611502352,0.7995186955406289,0.02007306957059427,0.068359375,1.0869140625,True,True,True,False,True,False,True,True,True,False,True,True
2,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_1,0.0,0.0,0.46306643934737546,0.8863299324610189,0.44013576305084345,0.7774410288975772,0.4664182515382294,0.9637978621815617,0.31903016089918595,0.010070667002123276,0.44677734375,1.03271484375,True,True,True,False,True,False,True,True,True,True,True,True
3,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_1,0.0,0.0,0.3522585243281688,0.8972828968732348,0.34446895297021657,0.779802266200046,0.3850451092790029,0.9537812653595076,0.6184236144961387,0.01064637400863563,0.2666015625,0.55712890625,True,True,True,False,True,False,True,True,True,True,True,False
4,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_2,0.0,0.0,0.47870422238645066,0.802743763688051,0.45255952507687425,0.7132765532495015,0.5159857075399081,0.8967014564817355,0.31903016089918607,0.06760599024010319,0.19287109375,0.603515625,True,True,True,False,True,False,True,False,True,False,True,False
5,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_2,0.0,0.0,0.43366874332626104,0.8992679296305434,0.4175996227527849,0.7777606568348597,0.4860251399010034,0.9560853443599222,0.000131555902707798,0.006930065296219675,0.130859375,0.982421875,True,True,True,False,True,False,True,True,True,True,True,True
6,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_3,0.0,0.0,0.3019500327482368,0.8721714669198551,0.2934455519302935,0.765383227936263,0.3474839609426052,0.939696374739778,0.18937506150082015,0.02755132877626369,0.00927734375,0.7822265625,True,True,True,False,True,False,True,True,True,False,True,True
7,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_3,0.0,0.0,0.5636349524208836,0.9355817861769163,0.5286231289320046,0.8004330367322353,0.6072282404909464,0.9705436603959766,0.0021199828818130027,0.001962735210331567,0.22021484375,0.78125,True,True,True,False,True,False,True,True,True,True,True,True
8,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_4,0.0,0.0,0.4252568624763032,0.9243140232776823,0.40766710546482166,0.7965418636542072,0.4580254951079235,0.9753650671645382,0.31903016089918623,0.006118214698212275,0.04638671875,0.9072265625,True,True,True,False,True,False,True,True,True,True,True,True
9,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_4,0.0,0.0,0.2963618597872489,0.9419358086703817,0.2765101589912807,0.7993049002391168,0.23484928176537428,0.9702357305960931,0.6996650254699909,0.0013428705066579002,0.07421875,0.9013671875,True,True,True,False,True,False,True,True,True,True,True,True
10,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_5,0.0,0.0,0.27053273772759406,0.8482112342559648,0.26047671605109907,0.754634505831338,0.28446156047529253,0.9469657007166769,0.18937506150081962,0.01737001445206106,0.001953125,1.15869140625,True,True,True,False,True,False,True,True,True,True,True,True
11,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_5,0.0,0.0,0.2941753807540249,0.9248661250892147,0.2886383371703462,0.7954933886163407,0.32613025933319684,0.9634653883409698,0.03315778884667616,0.0045346291499046105,0.2109375,0.8515625,True,True,True,False,True,False,True,True,True,True,True,True
12,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_6,0.0,0.0,0.4066191403588053,0.8119191148016267,0.3845954730092374,0.7202039667367836,0.41436499510891156,0.9042399407046823,0.1893750615008198,0.06164178934129083,0.11669921875,0.818359375,True,True,True,False,True,False,True,False,True,False,True,True
13,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_6,0.0,0.0,0.41333077884905456,0.8872358868607415,0.39640312008404005,0.7744172034551856,0.4493950065191955,0.9529098463973664,0.08985946652229995,0.010315491223223613,0.0234375,0.87548828125,True,True,True,False,True,False,True,True,True,True,True,True
14,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_7,0.0,0.0,0.2736280415743499,0.6306791147854278,0.26259768307027537,0.5606074074004596,0.2844615604752925,0.6891554176129762,0.18937506150081934,0.2661753720665901,0.00927734375,0.6103515625,True,True,True,False,True,False,True,False,True,False,True,False
15,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_7,0.0,0.0,0.3029039205077446,0.9134042256305094,0.29292020126322516,0.7933655071895599,0.288225636577303,0.9630418260780728,0.5300837371707834,0.0070293060437999514,0.13623046875,0.73193359375,True,True,True,False,True,False,True,True,True,True,True,True
16,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_8,0.0,0.0,0.3925982840411393,0.8909132953559118,0.37545848515948077,0.779242364583329,0.3645569927952743,0.9621648267073502,0.18937506150081995,0.01427551568791852,0.51416015625,0.92138671875,True,True,True,False,True,False,True,True,True,True,True,True
17,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_8,0.0,0.0,0.19859671217784297,0.9172302431888689,0.1960693807400479,0.7957448437601279,0.16958200182843364,0.9692604656803672,0.8961299626591093,0.008880709710691352,0.02880859375,0.74365234375,True,True,True,False,True,False,True,True,True,True,True,True
18,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_9,0.0,0.0,0.24011668095450683,0.9030919039191385,0.23450682011263094,0.7881692833109727,0.2331237099499091,0.9710369355354952,0.18937506150081973,0.010325492827904766,0.0439453125,0.82666015625,True,True,True,False,True,False,True,True,True,True,True,True
19,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_9,0.0,0.0,0.48342594060102134,0.9423998693423045,0.4636436609986402,0.8061364511229752,0.5801629192577072,0.9698809730534913,0.0010526984520421194,0.0035399305172869357,0.033203125,0.99462890625,True,True,True,False,True,False,True,True,True,True,True,True
20,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_10,0.0,0.0,0.40369741092568134,0.9356802565620019,0.38350965940873255,0.8023544892311916,0.41713542610962284,0.9766129144041538,0.31903016089918557,0.003050891844296242,0.14697265625,0.81982421875,True,True,True,False,True,False,True,True,True,True,True,True
21,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_10,0.0,0.0,0.4037340570668774,0.8647655763639027,0.38696620311776986,0.7632811607972663,0.43776328952444077,0.9469718693194824,0.41653444109734494,0.016272422536469718,0.0224609375,0.953125,True,True,True,False,True,False,True,True,True,True,True,True
22,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_11,0.0,0.0,0.2566234284409218,0.9125036935024247,0.24900004410150173,0.7878708114770768,0.25439097501363656,0.959003119916159,0.18937506150082012,0.006030147360712945,0.13427734375,0.98291015625,True,True,True,False,True,False,True,True,True,True,True,True
23,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_11,0.0,0.0,0.4239499591962715,0.8949305249935787,0.4036946567085139,0.7783177621069117,0.4696704302476013,0.9543486839421084,0.04302928588177218,0.00994234430707108,0.046875,0.88818359375,True,True,True,False,True,False,True,True,True,True,True,True
24,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_12,0.0,0.0,0.38826242932213656,0.9189125999827196,0.36413445276832124,0.7932144621459579,0.36040226672273246,0.9634887679462646,0.31903016089918673,0.004100909110793262,0.12744140625,0.77490234375,True,True,True,False,True,False,True,True,True,True,True,True
25,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_12,0.0,0.0,0.5443978150619196,0.911685457682093,0.516545187079673,0.7883328559241707,0.6396065244283127,0.959402594175169,0.16754682588606432,0.0075355028607262346,0.05322265625,0.951171875,True,True,True,False,True,False,True,True,True,True,True,True
26,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_13,0.0,0.0,0.46695221799376097,0.7175020249685503,0.44430313630813556,0.640136521325977,0.46641825153822947,0.8067913057111233,0.31903016089918634,0.1503795513061915,0.48095703125,0.72607421875,True,True,True,False,True,False,True,False,True,False,True,True
27,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_13,0.0,0.0,0.2914109361489385,0.9118871123476661,0.28294172335911993,0.7871159747714225,0.30525478688702334,0.959000809844432,0.7374489658744608,0.006985424882222309,0.21533203125,0.83447265625,True,True,True,False,True,False,True,True,True,True,True,True
28,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_14,0.0,0.0,0.38433883157054816,0.8725283063333097,0.36637585060934114,0.7679505653094768,0.3944722872898445,0.9515174373472088,0.31903016089918673,0.023436924384611608,0.44970703125,0.76953125,True,True,True,False,True,False,True,True,True,False,True,True
29,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_14,0.0,0.0,0.2740156296987367,0.824028099352028,0.2641304006790746,0.7286833270963151,0.26688526252865147,0.9165333933203816,0.00023802523828337027,0.044827571474365766,0.11328125,0.7900390625,True,True,True,False,True,False,True,True,True,False,True,True
30,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,PureState_15,0.0,0.0,0.4297909506895643,0.9762593762735661,0.41172971288813925,0.8212045681545743,0.45802549510792356,0.9877958903996227,0.31903016089918645,0.00038348732499405734,0.0048828125,0.8857421875,True,True,True,False,True,False,True,True,True,True,True,True
31,ae_5_Mutant_Add_ch_P11_Q1_[].qasm,Quratest_15,0.0,0.0,0.4788723642230733,0.9373648765672762,0.45846320477994024,0.803060109149724,0.5338542295509339,0.9699968124700942,0.03419360945222305,0.0041824455734221135,0.08056640625,1.025390625,True,True,True,False,True,False,True,True,True,True,True,True
32,ae_5_Mutant_Add_ch_P9_Q1_[].qasm,PureState_0,0.0,0.0,0.29707343766765576,0.8182744624349564,0.28628002061043656,0.7344261023199161,0.2592365575562426,0.9282979539458158,0.1265582166379467,0.03532087604803287,0.2080078125,1.04150390625,True,True,True,False,True,False,True,True,True,False,True,True
