Metric,Threshold,Accuracy-kyiv,F1 Score-kyiv,Precision-kyiv,Recall-kyiv,Accuracy-brisbane,F1 Score-brisbane,Precision-brisbane,Recall-brisbane,Accuracy-sherbrooke,F1 Score-sherbrooke,Precision-sherbrooke,Recall-sherbrooke
H,I,0.6652,0.7804,0.6421,0.9946,0.6524,0.7742,0.6336,0.9948,0.6625,0.7792,0.6404,0.9949
H,M,0.7555,0.8051,0.7693,0.8445,0.7303,0.7972,0.7252,0.885,0.7241,0.8046,0.6985,0.9487
H,N,0.7379,0.7525,0.8642,0.6663,0.6946,0.699,0.8527,0.5923,0.6897,0.6965,0.8403,0.5947
H,A,0.6468,0.5809,1.0,0.4093,0.6464,0.581,1.0,0.4095,0.6405,0.5809,0.9611,0.4163
J,I,0.6494,0.7722,0.6343,0.9868,0.6365,0.766,0.6259,0.987,0.646,0.7706,0.6319,0.9871
J,M,0.7469,0.8045,0.7521,0.8648,0.7042,0.787,0.6954,0.9064,0.6997,0.7926,0.6785,0.9531
J,N,0.7533,0.7732,0.8661,0.6983,0.7227,0.7366,0.8621,0.643,0.7173,0.7332,0.8494,0.6451
J,A,0.6681,0.6196,1.0,0.4488,0.6696,0.6227,1.0,0.4521,0.6667,0.6258,0.9663,0.4628
T,I,0.4597,0.6299,0.4597,1.0,0.4597,0.6299,0.4597,1.0,0.4597,0.6299,0.4597,1.0
T,M,0.5788,0.6851,0.5219,0.9968,0.59,0.6905,0.5287,0.9948,0.5889,0.6899,0.528,0.9949
T,N,0.8103,0.8204,0.7262,0.9427,0.8004,0.8145,0.711,0.9534,0.7936,0.8047,0.7122,0.925
T,A,0.9181,0.9038,0.9821,0.837,0.9219,0.9072,0.9999,0.8303,0.8396,0.8337,0.7964,0.8747
F,I,0.4917,0.6592,0.4917,1.0,0.4917,0.6592,0.4917,1.0,0.4917,0.6592,0.4917,1.0
F,M,0.5526,0.6863,0.5237,0.9953,0.5647,0.6913,0.5307,0.9916,0.5701,0.694,0.5338,0.9913
F,N,0.8087,0.8285,0.7407,0.9399,0.7957,0.821,0.7212,0.9528,0.7856,0.8037,0.7308,0.8928
F,A,0.8779,0.8583,1.0,0.7518,0.8755,0.855,1.0,0.7467,0.8483,0.8415,0.865,0.8193
E,I,0.5352,0.6013,0.5182,0.7161,0.5285,0.6016,0.5129,0.7275,0.5229,0.5997,0.5077,0.7324
E,M,0.5578,0.5098,0.5572,0.4699,0.5452,0.5122,0.5391,0.4879,0.5383,0.5114,0.5286,0.4953
E,N,0.5461,0.4279,0.5585,0.3467,0.5069,0.3238,0.4923,0.2412,0.5146,0.3515,0.5048,0.2696
E,A,0.512,0.2855,0.5038,0.1992,0.4976,0.2875,0.4699,0.2071,0.5018,0.2881,0.4758,0.2066
