Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.4099,0.4095,0.4159
H,N,0.6587,0.5878,0.5891
H,M,0.8366,0.879,0.948
H,I,0.9945,0.9947,0.9948
J,A,0.4482,0.4516,0.4619
J,N,0.6899,0.6358,0.6372
J,M,0.858,0.9019,0.952
J,I,0.9864,0.9869,0.9868
T,A,0.833,0.8255,0.8705
T,N,0.9398,0.9506,0.922
T,M,0.9967,0.9944,0.9945
T,I,1.0,1.0,1.0
F,A,0.7452,0.7386,0.8146
F,N,0.9389,0.9509,0.8906
F,M,0.995,0.9917,0.9914
F,I,1.0,1.0,1.0
E,A,0.1947,0.2037,0.2036
E,N,0.3399,0.2372,0.266
E,M,0.4625,0.4818,0.4904
E,I,0.7116,0.7238,0.7293
