Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,1.0,1.0,0.9597
H,N,0.8596,0.8479,0.8353
H,M,0.7625,0.7179,0.6911
H,I,0.6342,0.6257,0.6325
J,A,1.0,1.0,0.9651
J,N,0.8614,0.8575,0.8444
J,M,0.745,0.6877,0.6707
J,I,0.6263,0.6179,0.6239
T,A,0.9813,0.9999,0.7888
T,N,0.7166,0.701,0.7023
T,M,0.5097,0.5166,0.5159
T,I,0.4481,0.4481,0.4481
F,A,1.0,1.0,0.8589
F,N,0.7313,0.7109,0.721
F,M,0.5113,0.5183,0.5215
F,I,0.4794,0.4794,0.4794
E,A,0.4975,0.4638,0.4702
E,N,0.5522,0.4861,0.4992
E,M,0.5512,0.5332,0.5234
E,I,0.5135,0.5082,0.5034
