Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.5809,0.581,0.5809
H,N,0.7525,0.699,0.6965
H,M,0.8051,0.7972,0.8046
H,I,0.7804,0.7742,0.7792
J,A,0.6196,0.6227,0.6258
J,N,0.7732,0.7366,0.7332
J,M,0.8045,0.787,0.7926
J,I,0.7722,0.766,0.7706
T,A,0.9038,0.9072,0.8337
T,N,0.8204,0.8145,0.8047
T,M,0.6851,0.6905,0.6899
T,I,0.6299,0.6299,0.6299
F,A,0.8583,0.855,0.8415
F,N,0.8285,0.821,0.8037
F,M,0.6863,0.6913,0.694
F,I,0.6592,0.6592,0.6592
E,A,0.2855,0.2875,0.2881
E,N,0.4279,0.3238,0.3515
E,M,0.5098,0.5122,0.5114
E,I,0.6013,0.6016,0.5997
