Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.6586,0.6577,0.6509
H,N,0.7362,0.6962,0.6904
H,M,0.7454,0.7179,0.7111
H,I,0.6471,0.6338,0.6444
J,A,0.6786,0.6802,0.6762
J,N,0.7505,0.722,0.7158
J,M,0.736,0.6901,0.6847
J,I,0.631,0.6178,0.6276
T,A,0.9205,0.9246,0.8354
T,N,0.8011,0.7901,0.7847
T,M,0.5546,0.5666,0.5654
T,I,0.4321,0.4321,0.4321
F,A,0.8823,0.8792,0.8477
F,N,0.8003,0.7853,0.778
F,M,0.5262,0.5395,0.5452
F,I,0.4619,0.4619,0.4619
E,A,0.5141,0.4996,0.504
E,N,0.5446,0.508,0.5153
E,M,0.5537,0.5409,0.5344
E,I,0.5283,0.5215,0.516
