Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.6468,0.6464,0.6405
H,N,0.7379,0.6946,0.6897
H,M,0.7555,0.7303,0.7241
H,I,0.6652,0.6524,0.6625
J,A,0.6681,0.6696,0.6667
J,N,0.7533,0.7227,0.7173
J,M,0.7469,0.7042,0.6997
J,I,0.6494,0.6365,0.646
T,A,0.9181,0.9219,0.8396
T,N,0.8103,0.8004,0.7936
T,M,0.5788,0.59,0.5889
T,I,0.4597,0.4597,0.4597
F,A,0.8779,0.8755,0.8483
F,N,0.8087,0.7957,0.7856
F,M,0.5526,0.5647,0.5701
F,I,0.4917,0.4917,0.4917
E,A,0.512,0.4976,0.5018
E,N,0.5461,0.5069,0.5146
E,M,0.5578,0.5452,0.5383
E,I,0.5352,0.5285,0.5229
