Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.5815,0.581,0.5799
H,N,0.7429,0.6916,0.688
H,M,0.7918,0.7832,0.7917
H,I,0.7653,0.759,0.7642
J,A,0.619,0.6222,0.6244
J,N,0.7631,0.7273,0.7231
J,M,0.791,0.7724,0.7786
J,I,0.7569,0.7507,0.7553
T,A,0.9005,0.9044,0.8205
T,N,0.8033,0.7965,0.7873
T,M,0.6591,0.6648,0.6641
T,I,0.6034,0.6034,0.6034
F,A,0.854,0.8496,0.8316
F,N,0.8129,0.8036,0.7875
F,M,0.6599,0.6655,0.6682
F,I,0.6319,0.6319,0.6319
E,A,0.2779,0.2812,0.2823
E,N,0.4176,0.3166,0.3446
E,M,0.4989,0.5021,0.5022
E,I,0.5917,0.5924,0.5907
