Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.4093,0.4095,0.4163
H,N,0.6663,0.5923,0.5947
H,M,0.8445,0.885,0.9487
H,I,0.9946,0.9948,0.9949
J,A,0.4488,0.4521,0.4628
J,N,0.6983,0.643,0.6451
J,M,0.8648,0.9064,0.9531
J,I,0.9868,0.987,0.9871
T,A,0.837,0.8303,0.8747
T,N,0.9427,0.9534,0.925
T,M,0.9968,0.9948,0.9949
T,I,1.0,1.0,1.0
F,A,0.7518,0.7467,0.8193
F,N,0.9399,0.9528,0.8928
F,M,0.9953,0.9916,0.9913
F,I,1.0,1.0,1.0
E,A,0.1992,0.2071,0.2066
E,N,0.3467,0.2412,0.2696
E,M,0.4699,0.4879,0.4953
E,I,0.7161,0.7275,0.7324
