,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
0,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_0,0.0,0.0,0.6297321624498464,0.8150997703373792,0.5584207732856616,0.7023027070704044,0.6035533905932737,0.8748400871421342,4.127503229739607e-17,0.02268106081803842,1.2099609375,1.2998046875,True,True,True,True,True,True,True,True,True,True,True,True
1,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_0,0.0,0.0,0.2685031669556709,0.7446669952678888,0.2668216662778635,0.6803774652408796,0.3722495957581258,0.8484317705767305,0.8591266461331112,0.038412205149738636,0.15478515625,0.5224609375,True,True,True,True,True,True,True,True,True,True,True,True
2,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_1,0.0,0.0,0.6302729415326981,0.5779205325212667,0.5579631581404983,0.5342940157141743,0.6035533905932737,0.6615124504398253,4.9276639899588494e-17,0.22731894860074361,1.2099609375,0.08984375,True,True,True,True,True,True,True,True,True,True,True,False
3,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_1,0.0,0.0,0.43135123567912775,0.7544152039877642,0.42069781521196103,0.6905482333251594,0.5430363265346364,0.8699520450287856,0.3294116589669161,0.04002620379251623,0.31982421875,0.5654296875,True,True,True,True,True,True,True,True,True,True,True,True
4,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_2,0.0,0.0,0.6299748031855987,0.5461533347902762,0.5586799806600538,0.5044676286640126,0.6035533905932737,0.6490913115002124,7.617801317941772e-17,0.23518675522641302,0.20849609375,0.8115234375,True,True,True,True,True,True,True,True,True,True,True,True
5,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_2,0.0,0.0,0.3629935477912524,0.6703813146725836,0.35286197451057016,0.6253197846582461,0.390515321354974,0.7966993148106136,0.007632821991650547,0.08963087868167344,0.37353515625,0.54541015625,True,True,True,True,True,True,True,True,True,True,True,True
6,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_3,0.0,0.0,0.6344099300286007,0.8388363782570989,0.5624087647093635,0.7260896635580913,0.6035533905932737,0.887261226081747,5.138885536447786e-17,0.01481325162037545,0.20849609375,0.60302734375,True,True,True,True,True,True,True,True,True,True,True,True
7,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_3,0.0,0.0,0.12557229238994,0.6722970830382569,0.12359407423163984,0.6206214177055359,0.1200608070671679,0.7994131418758563,0.9498457944812551,0.11638929532350185,0.23486328125,0.4970703125,True,True,False,True,True,True,True,True,True,True,True,True
8,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_4,0.0,0.0,0.6280721220625151,0.8396978352744786,0.5565248864498501,0.7273185420522239,0.6035533905932738,0.887261226081747,3.996498557506798e-17,0.01481323085639692,0.20849609375,0.60302734375,True,True,True,True,True,True,True,True,True,True,True,True
9,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_4,0.0,0.0,0.14312176902329002,0.5921806398414631,0.1421453809109642,0.5542188687506279,0.17888136298754154,0.7353942509619747,0.07873413317080925,0.16916205548582577,0.14111328125,0.37548828125,True,True,True,True,True,True,True,True,True,True,True,True
10,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_5,0.0,0.0,0.6353823098546342,0.8230631918091056,0.5634558098833953,0.7072191035993224,0.6035533905932737,0.8748400871421341,4.114199773110839e-17,0.022681064875449568,1.2099609375,1.2998046875,True,True,True,True,True,True,True,True,True,True,True,True
11,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_5,0.0,0.0,0.3766619235459105,0.543846171141604,0.3536252245443041,0.5055087086507071,0.28067778627891543,0.6347303166985474,0.19967482802396716,0.2491709158668518,0.36181640625,0.25146484375,True,True,True,True,True,True,True,True,True,True,True,True
12,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_6,0.0,0.0,0.6379855134472857,0.577029427658442,0.5657002529688453,0.5300235427497376,0.6035533905932737,0.6615124504398252,6.753077568533906e-17,0.2273189334432316,1.2099609375,0.08984375,True,True,True,True,True,True,True,True,True,True,True,False
13,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_6,0.0,0.0,0.5741481902301379,0.7691254519852458,0.5306220225226511,0.6957772630772855,0.6107240855883215,0.8639446521066834,0.13618480717307746,0.029505359649830504,0.51953125,1.0068359375,True,True,True,True,True,True,True,True,True,True,True,True
14,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,PureState_7,0.0,0.0,0.627860481206122,0.5477009334696057,0.5561573780120261,0.5050967275733038,0.6035533905932738,0.6490913115002125,7.779750801242209e-17,0.23518677119509923,0.20849609375,0.8115234375,True,True,True,True,True,True,True,True,True,True,True,True
15,qftentangled_3_Mutant_Add_sx_P0_Q2_[].qasm,Quratest_7,0.0,0.0,0.38761607711533747,0.8461612003197749,0.3797390661470655,0.7510910352042985,0.4866872144435702,0.920448727471151,0.5125068918937761,0.011646661426487369,0.9619140625,0.31591796875,True,True,True,True,True,True,True,True,True,True,True,True
