Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.409,0.409,0.4158
H,N,0.6633,0.5902,0.5929
H,M,0.8414,0.8829,0.9483
H,I,0.9946,0.9949,0.9948
J,A,0.4482,0.4513,0.4618
J,N,0.6948,0.6402,0.6426
J,M,0.862,0.9045,0.9525
J,I,0.9865,0.9868,0.9869
T,A,0.8371,0.8304,0.8748
T,N,0.9429,0.9535,0.9252
T,M,0.9968,0.9948,0.9948
T,I,1.0,1.0,1.0
F,A,0.7518,0.7467,0.8194
F,N,0.9403,0.953,0.8931
F,M,0.9954,0.9916,0.9913
F,I,1.0,1.0,1.0
E,A,0.1968,0.205,0.2047
E,N,0.343,0.2389,0.2674
E,M,0.4659,0.4845,0.4925
E,I,0.7136,0.7263,0.7307
