Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,0.5776,0.5808,0.5776
H,N,0.7284,0.6805,0.6812
H,M,0.7859,0.7779,0.7916
H,I,0.7643,0.7578,0.7631
J,A,0.6113,0.6159,0.6187
J,N,0.7479,0.7133,0.7128
J,M,0.7862,0.7686,0.7777
J,I,0.7558,0.7492,0.7536
T,A,0.8787,0.8814,0.8089
T,N,0.7993,0.794,0.7812
T,M,0.6631,0.6683,0.6678
T,I,0.6041,0.6041,0.6041
F,A,0.8239,0.8171,0.8121
F,N,0.8074,0.8036,0.7779
F,M,0.6683,0.673,0.6759
F,I,0.6404,0.6404,0.6404
E,A,0.2824,0.2851,0.285
E,N,0.4203,0.3205,0.3461
E,M,0.5008,0.5047,0.5046
E,I,0.593,0.595,0.5926
