Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_0,0.009195380318800123,0.009501076948237461,0.009195163270341235,0.009500872111222606,0.0,0.0017511126989542755,0.9999999999999996,0.9729767679450376,0.009765624999999958,0.01611328124999996
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_0,0.010104269201960373,0.11009070976517,0.01010024188435351,0.10862646732276035,0.0,0.017013299897937054,1.0000000000000013,0.9723687377872248,0.01438623789737603,0.15012842539737603
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_1,0.011297699989055705,0.009889497820989418,0.011297499935684316,0.009889358303115502,0.0,0.0017511126989542894,1.0,0.9733423155483907,0.019531249999999986,0.007324218750000014
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_1,0.012054873735860087,0.04626310529353871,0.012054668657797578,0.04621617603764212,0.0,0.006978817626575408,1.0,0.96958284056214,0.003734713046134097,0.1188238807038659
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_2,0.006929475064061822,0.010520292974654653,0.006929406220215857,0.010519984162025852,0.0,0.00175111269895422,0.9999999999999998,0.9781620873686234,0.018066406249999944,0.0058593750000000555
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_2,0.008770995956998937,0.02915630251529243,0.008770866090566525,0.02914812491013969,0.0,0.005992984503061152,0.9999999999999993,0.9723432524729619,0.009950438502773593,0.04424878024722641
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_3,0.010044316702492223,0.011574245898225338,0.010044163712146174,0.011574060270868372,0.0,0.00175111269895422,1.0,0.9779243338061846,0.0039062500000000555,0.041015625000000056
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_3,0.00815902462188576,0.10970343897042203,0.008154797520291857,0.1054600546745664,0.0,0.016817475312097676,0.999999999999998,0.963451765474214,0.003439542349996577,0.002908113900003423
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_4,0.009439293077181974,0.00837493045259087,0.00943913095274914,0.008374812203588558,0.0,0.0017511126989541992,0.9999999999999996,0.9756957731333241,0.020507812500000056,0.0039062500000000555
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_4,0.009295748905246948,0.10520587001900925,0.009291314517600064,0.10237707302396493,0.0,0.00788808811050696,0.9999999999999993,0.9722106270866685,0.01412470992278922,0.00826533492278922
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_5,0.00893473863474029,0.007599881506652027,0.008934613091670348,0.007599758146164942,0.0,0.0017511126989541645,0.9999999999999998,0.9750454049910308,0.013183593749999972,0.004394531249999972
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_5,0.01251408874243841,0.06244184372521627,0.012513718514175797,0.061997837005329105,0.0,0.010461924862352664,1.0,0.9614671421189998,0.01309600628102614,0.06631866253102614
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_6,0.012742739319770775,0.0058379183750884465,0.012742341541378358,0.005837864130596964,0.0,0.0017511126989542408,1.0,0.9754117297332379,0.02490234374999996,0.03662109374999996
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_6,0.0027590801966707237,0.06806129070137396,0.0027590713216128736,0.0677594878938361,0.0,0.016624824826730854,1.0000000000000013,0.9634152850762866,0.02292942353415084,0.03810573271584916
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,PureState_7,0.007486549457374336,0.008148845261087544,0.007486500284087562,0.00814874963490899,0.0,0.0017511126989543171,1.0000000000000009,0.9761159009736513,0.010253906249999944,0.0004882812499999445
qft_3_Mutant_Add_rz_P0_Q2_[0.0].qasm,Quratest_7,0.008513855628088512,0.09857449850324637,0.008513766563348407,0.0973501158386121,0.0,0.014320186924375894,1.0000000000000009,0.9701354028196072,0.010512587944258911,0.1755516504442589
