,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IT,Killed_NT,Killed_IF,Killed_NF
0,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_0,0.9004963591782429,0,0.0013815139843403555,0.1218582341617689,0.0,0.00023200858975500302,0.9999999999999993,0.9997502202659262,False,True,False,True,False,True,False,True
1,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_1,2.1206028568257403e-125,0,0.2907445312078253,0.2962055677213536,0.35355339100000005,0.3379464296341,0.1464466099822813,0.1994244810037536,True,True,True,True,True,True,True,True
2,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_2,0,0,0.7922204694754132,0.6991052787311347,0.8535533909999999,0.8159163292816001,0.1464466099819241,0.19731198645982664,True,True,True,True,True,True,True,True
3,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_3,,0,0.0,0.15400905983632326,0.0,0.0006173464892900324,1.0,0.9997514242692908,False,True,False,True,False,True,False,True
4,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_4,0.21129606355977026,0,0.013813025042332302,0.1283976494948806,0.0,0.00022740527176500687,1.0000000000000004,0.999751904957652,False,True,False,True,False,True,False,True
5,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_5,,0,0.0,0.17390359233227098,0.0,0.0007731007882550296,0.9999999999999996,0.999749772854441,False,True,False,True,False,True,False,True
6,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_6,0,0,0.796384409559863,0.7086984121204931,0.8535533909999999,0.8152860036347,0.14644660998192394,0.19845400486192452,True,True,True,True,True,True,True,True
7,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,PureState_7,1.6170233892404439e-111,0,0.2749735290877521,0.31201811290849646,0.35355339100000005,0.33803885598355005,0.14644660998227088,0.19828343526979128,True,True,True,True,True,True,True,True
8,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,Quratest_0,1.9301981658186125e-30,1.976989932016936e-18,0.1259531175318974,0.09938122485586097,0.16201533,0.154161325,0.1713721286716532,0.1957513553766234,True,True,True,True,True,True,True,True
9,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,Quratest_1,4.353229554600091e-112,0,0.2211559339597625,0.2328241773255656,0.29937431060740005,0.28466995509,0.14647312332392043,0.17897845908092752,True,True,True,True,True,True,True,True
10,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,Quratest_2,2.4508908622996885e-54,3.4680088909943454e-50,0.18017593679628663,0.17390745941690966,0.23671504,0.22613612000000002,0.15278099446676816,0.19471510562905112,True,True,True,True,True,True,True,True
11,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,Quratest_3,1.8578258286331993e-61,7.516939013004971e-74,0.2191471982405963,0.23248845706664706,0.188782355,0.17668596499999997,0.22426765471874793,0.2594161906877284,True,True,True,True,True,True,True,True
12,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,Quratest_4,0.0,0.0,0.44412034945967677,0.41602550503337016,0.357434187335,0.34145413773,0.5197767170435671,0.545958082243363,True,True,True,True,True,True,True,True
13,qpeexact_3_Mutant_Add_cp_P3_Q2_[3.9269908169872414].qasm,Quratest_5,0.0,0.0,0.37347811853224405,0.38223039426855376,0.4723055500000001,0.44329125999999996,0.15624969024225904,0.22087324102315253,True,True,True,True,True,True,True,True
