,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF
0,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,PureState_0,0.0,0.0,0.5480890030333718,0.5962946875524018,0.4702138755930437,0.5057627673603784,0.5,0.4895056300970269,0.5000000000000078,0.5144869290301182,True,True,True,True,False,False,True,True,True,True
1,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,Quratest_0,0.0,0.0,0.20808402102273219,0.3376479157789031,0.19970646569292216,0.30497510372084063,0.16944036181286162,0.16539035224184215,0.2341047870775157,0.2664864029312222,True,True,True,True,False,False,True,True,True,True
2,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,PureState_1,0.0,0.0,0.5628907087122866,0.5866011307687296,0.48412095519123743,0.5144927201302456,0.5,0.489382091510714,0.5000000000000085,0.514577845814235,True,True,True,True,False,False,True,True,True,True
3,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,Quratest_1,0.0,0.0,0.42281517902951044,0.40050312797053944,0.40737708443909193,0.38530148166198924,0.47508885587551447,0.46425901708139905,0.17414808095458623,0.19757711890539126,True,True,True,True,False,False,True,True,True,True
4,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,PureState_2,0.0,0.0,0.540899104612152,0.5577923300593473,0.463992614462557,0.486658165456344,0.5,0.4901472232722359,0.5000000000000085,0.5142004155689686,True,True,True,True,False,False,True,True,True,True
5,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,Quratest_2,0.0,0.0,0.5564925545307866,0.5394636665381427,0.476983109758053,0.4663341845250425,0.5000000000000222,0.4888906278055066,0.49999999999996475,0.516530316241341,True,True,True,True,False,False,True,True,True,True
6,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,PureState_3,0.0,0.0,0.5403638828502342,0.5777905726700867,0.4641312950641205,0.5016061184266499,0.49999999999999983,0.4888009510368445,0.5000000000000084,0.5157301060208644,True,True,True,True,False,False,True,True,True,True
7,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,Quratest_3,0.0,0.0,0.39682261113497996,0.4221069155815867,0.3849379199242905,0.40211414985419425,0.47232073900128096,0.4559297007213802,0.004517667087998497,0.04636834131402682,True,True,True,True,False,False,True,True,True,True
8,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,PureState_4,0.0,0.0,0.5567304004932531,0.5820919824188209,0.47983823188089425,0.5013672484911509,0.4999999999999999,0.48907482950872483,0.5000000000000081,0.5153906161852837,True,True,True,True,False,False,True,True,True,True
9,wstate_6_Mutant_Add_h_P0_Q0_[].qasm,Quratest_4,0.0,0.0,0.49448738713758394,0.4763225099158201,0.4365967690559022,0.4237854825542283,0.43969768839187995,0.4281021554013131,0.612815472464551,0.6261603113616476,True,True,True,True,False,False,True,True,True,True
