Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.9151824750333656,0.9019590059858517,0.9052214685664861
Metric H,N,0.9793417781460874,0.9614310334581327,0.9978371121718377
Metric J,I,0.9170506912442397,0.9021305530371714,0.9052080964293837
Metric J,N,0.9810108092316682,0.9661518810961449,1.0
Metric T,I,0.8609154929577465,0.8609154929577465,0.8609154929577465
Metric T,N,0.9937506403032477,0.9620040515835763,1.0
Metric F,I,0.9413431810374442,0.9413431810374442,0.9413431810374442
Metric F,N,1.0,1.0,1.0
Metric E,I,0.8017848036715961,0.7740710326421679,0.771078180889116
Metric E,N,0.8204572803850783,0.786073779105138,0.80646999240314
