Metric,Threshold,kyiv,brisbane,sherbrooke
Metric C,A,0.0,0.0,0.0
Metric C,I,0.0,0.0,0.0
Metric C,N,0.0,0.0,0.0
Metric H,A,0.9827721221613156,0.9827721221613156,0.9753521126760564
Metric H,I,1.0,1.0,1.0
Metric H,N,0.9933437744714174,0.9933437744714174,0.9820031298904538
Metric J,A,0.9827721221613156,0.9827721221613156,0.9569303054032889
Metric J,I,1.0,1.0,1.0
Metric J,N,0.9933437744714174,0.9933437744714174,0.976115896632733
Metric T,A,1.0,1.0,1.0
Metric T,I,1.0,1.0,1.0
Metric T,N,1.0,1.0,1.0
Metric F,A,0.5,0.5,0.8125
Metric F,I,1.0,1.0,1.0
Metric F,N,0.5,0.5,0.8125
Metric E,A,0.23802629991555074,0.4539751477862227,0.28206056219085535
Metric E,I,0.72192061768609,0.7026179273736277,0.682712027988901
Metric E,N,0.3930510314875136,0.6006755941609362,0.36071902521413923
