Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.767741648700909,0.7623359934700721,0.7658081838446615
Metric H,N,0.5853911615985629,0.5222962217981105,0.6345964660753914
Metric H,A,0.2993792675356921,0.29684838579459866,0.4190118368016925
Metric H,M,0.7576423722020477,0.7420334722189893,0.7598016158897813
Metric J,I,0.7643632248185873,0.759057182674988,0.7624143194116831
Metric J,N,0.5887065651965854,0.5188943151107107,0.6351140387617561
Metric J,A,0.30666739118621966,0.2949527762738375,0.4007682102001243
Metric J,M,0.7532685357804364,0.7351432198820849,0.7545578878515787
Metric T,I,0.00027810609747618714,0.00027810609747618714,0.0002787262211692565
Metric T,N,0.0004707543839002001,0.00046402366520692555,0.000446927374301676
Metric T,A,0.0015208402642459958,0.006354249404289118,0.0006275863421522289
Metric T,M,0.0003156285446565074,0.00032392270394477116,0.0003328548544800183
Metric F,I,0.00027810609747618714,0.00027810609747618714,0.0002787262211692565
Metric F,N,0.0004322280002701425,0.0004503553585250862,0.00044098394542823677
Metric F,A,0.0023417489937797293,0.005862953462806889,0.0005871990604815032
Metric F,M,0.00029262226123852374,0.0003018611627314662,0.00030773669279222964
Metric E,I,0.4690466617983705,0.4799948848287217,0.4831522943914875
Metric E,N,0.4158167036215817,0.3969208239397268,0.4029972959591728
Metric E,A,0.3429381504193829,0.36989409215305263,0.38410898058733717
Metric E,M,0.4433583370359722,0.45746242218735766,0.4632995063311161
