Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,PureState_0,0.007076104619089277,0.39499428351329363,0.005893098981614886,0.3345056370652292,0.0,0.07161787012040288,1.0000000000000226,0.9183467267183689,2.220446049250313e-16,0.4965820312500002
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,Quratest_0,0.04741943114882784,0.2580385386872924,0.04323776813459417,0.24430965082459044,0.0,0.07177933486249392,1.0000000000000222,0.8766830082369862,0.005015008584463132,0.45299280391553687
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,PureState_1,0.00014142135977280335,0.39605068776767755,0.00014142135943898118,0.3353667370590518,0.0,0.07584002363742409,1.0000000000000235,0.9195467596551269,4.440892098500626e-16,0.47802734375000044
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,Quratest_1,0.03947866792931304,0.14636932035004946,0.03680664656638828,0.13826587531653017,0.0,0.023388960853688974,1.0000000000000253,0.8911220209074318,0.015242345966737125,0.10410953346673713
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,PureState_2,0.0020506204441200823,0.40211673315025176,0.0020506197255222517,0.34068379193067366,0.0,0.07453287370872112,1.0000000000000235,0.9197448574180488,4.440892098500626e-16,0.49609375000000044
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,Quratest_2,0.04177368793817184,0.16438833831328495,0.03941281612981709,0.16054473323008325,0.0,0.03733459205365545,1.0000000000000222,0.8611187268395915,0.0011518282602682728,0.20915964076026827
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,PureState_3,0.0050134043449084325,0.3949912695092737,0.005013362407885978,0.33445905849517144,0.0,0.06891040547364197,1.0000000000000218,0.9181647504146481,2.220446049250313e-16,0.5029296875000002
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,Quratest_3,0.020408857962218384,0.3701405367099494,0.02036619495949404,0.3129717461505377,0.0,0.043876587707277204,1.000000000000024,0.9107780542605609,0.0,0.4892578125
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,PureState_4,0.004145120019665793,0.38654211586546494,0.0041450874492443375,0.32710475855054033,0.0,0.06401669007027465,1.0000000000000226,0.9187762990591303,4.440892098500626e-16,0.46826171875000044
wstate_7_Mutant_Remove_cz_P9_Q5.qasm,Quratest_4,0.04835030621063764,0.18486855800500301,0.043784034542894354,0.1742491832018481,0.0,0.03351922598778141,1.0000000000000226,0.8955632617969177,0.005481354629214813,0.08094442662078519
