,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
0,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_0,0.0,0.0,0.5649188769869005,0.8467840924979132,0.5233934327422284,0.7548788138066077,0.6316220969817559,0.9604782233517732,0.18937506150081732,0.021041184535275186,0.0263671875,0.9775390625,True,True,True,True,True,True,True,True,True,True,True,True
1,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_0,0.0,0.0,0.3701607156193269,0.8185421864453309,0.3596821020168001,0.7309037646977598,0.4404505144174452,0.935902969600979,0.32178188830333426,0.03774554693519071,0.1923828125,0.93359375,True,True,True,True,True,True,True,True,True,True,True,True
2,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_1,0.0,0.0,0.43999615466795805,0.8984589856552079,0.4161086785949798,0.7817233845138912,0.441265344701457,0.969313823433072,0.1893750615008176,0.007985311892145956,0.53466796875,0.78759765625,True,True,True,True,True,True,True,True,True,True,True,True
3,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_1,0.0,0.0,0.5631616912216573,0.8985117565781515,0.5382846895753675,0.779858450845932,0.6669030986329416,0.9641123301049845,0.0239581057287419,0.010832889254380432,0.36279296875,1.1162109375,True,True,True,True,True,True,True,True,True,True,True,True
4,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_2,0.0,0.0,0.4800031011021834,0.9403636467192512,0.45248656835965884,0.8062569852125494,0.48879477931111204,0.9785360901341169,0.31903016089918285,0.0018228663264499784,0.7998046875,0.7978515625,True,True,True,True,True,True,True,True,True,True,True,True
5,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_2,0.0,0.0,0.3830480255649133,0.7882649057173217,0.37327333580879146,0.7121910578730553,0.46350033739287466,0.9237293009313314,0.07174900965518961,0.054604607441458286,0.49462890625,0.62451171875,True,True,True,True,True,True,True,True,True,True,True,True
6,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_3,0.0,0.0,0.43255943341590114,0.9395424233701357,0.41068230313766857,0.8069750516991545,0.4412653447014571,0.9757155011140775,0.1893750615008177,0.004081488271890722,0.544921875,0.93701171875,True,True,True,True,True,True,True,True,True,True,True,True
7,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_3,0.0,0.0,0.3389482974604843,0.6982223206980062,0.3306194988125726,0.6316362614972445,0.37491899724134703,0.8297613600396192,0.535027925171505,0.14111939065953863,0.1201171875,0.96142578125,True,True,True,True,True,True,True,True,True,True,True,True
8,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_4,0.0,0.0,0.4851544430022196,0.8079049017958873,0.4545736997705305,0.7280760221484845,0.5329836140258625,0.9322301187727946,0.3190301608991827,0.04743438594718139,0.56689453125,0.70263671875,True,True,True,True,True,True,True,True,True,True,True,True
9,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_4,0.0,0.0,0.4200393384258165,0.706908605811495,0.40881992625631025,0.6304052268837044,0.49712558328013295,0.8147202251091012,0.21679231785287567,0.15555962664117848,0.11083984375,0.7666015625,True,True,True,True,True,True,True,True,True,True,True,True
10,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_5,0.0,0.0,0.48723100012853077,0.8721814434782906,0.45839624691660646,0.7722613084688634,0.48879477931111204,0.9622777995136677,0.3190301608991827,0.017246696062187625,0.80078125,0.93408203125,True,True,True,True,True,True,True,True,True,True,True,True
11,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_5,0.0,0.0,0.3937119576171811,0.8212898606571859,0.3770490981389473,0.7345456920016817,0.451715732635709,0.939315963604743,0.5244357685911757,0.03468429074222843,0.5283203125,0.5009765625,True,True,True,True,True,True,True,True,True,True,True,True
12,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_6,0.0,0.0,0.41211160480405173,0.9120091629985837,0.40097759593172877,0.7882168587931434,0.5010658704324562,0.9716821665179606,0.18937506150081715,0.004052632122758256,0.8359375,0.9638671875,True,True,True,True,True,True,True,True,True,True,True,True
13,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_6,0.0,0.0,0.37893773018002913,0.7785016622623703,0.3567089646264065,0.6996643486494901,0.3806876491782547,0.9058153202127992,0.17501792951793188,0.0675736914739101,0.2119140625,0.796875,True,True,True,True,True,True,True,True,True,True,True,True
14,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_7,0.0,0.0,0.40693227892229744,0.8663831768605608,0.3949181614630912,0.763732748537688,0.5010658704324563,0.9497634122367858,0.1893750615008172,0.02848632753103514,0.81005859375,0.78369140625,True,True,True,True,True,True,True,True,True,True,True,True
15,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_7,0.0,0.0,0.4058298635843685,0.760062524721643,0.3913451069811914,0.6795303271856407,0.46618296748348487,0.8781704140230298,0.011114920492884522,0.09386741013660722,0.3564453125,0.99609375,True,True,True,True,True,True,True,True,True,True,True,True
16,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_8,0.0,0.0,0.5760366326699113,0.6640674217333664,0.528717010448519,0.5988079185851783,0.6316220969817558,0.7845215592592066,0.18937506150081732,0.18569864395346372,0.06005859375,0.73681640625,True,True,True,True,True,True,True,True,True,True,True,True
17,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,Quratest_8,0.0,0.0,0.3336734284380304,0.878294727651499,0.3281824125061572,0.7710043398868267,0.4316080112510423,0.9613049340315611,0.3972199037783446,0.01863352767795439,0.49072265625,0.6904296875,True,True,True,True,True,True,True,True,True,True,True,True
18,ae_4_Mutant_Add_ch_P10_Q1_[].qasm,PureState_9,0.0,0.0,0.3371736118439936,0.9032299242823023,0.33119377156519114,0.786097321999049,0.4434296162150573,0.9698324222046976,0.31903016089918235,0.007974185464265732,0.55078125,0.7900390625,True,True,True,True,True,True,True,True,True,True,True,True
