Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_0,0.19256992168475234,0.20040625737054865,0.18420251322852305,0.1945043457503919,0.17638979146730122,0.17322687826266303,0.8806062043357104,0.7742077855401059,0.010970774796473737,0.028091725203526263,True,True,True,True,True,True,True,True,False,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_0,0.37474751910900117,0.33460700138646454,0.36031246727991467,0.3237548986975882,0.41254194568340974,0.39139739074163055,0.15978299685448197,0.15220718088097157,0.0746588805822108,0.039014349332210804,True,True,True,True,True,True,True,True,True,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_1,0.18554751411480477,0.210077911512441,0.17905545261056555,0.1967997055332933,0.17931319654921202,0.17685725979616407,0.8806062043357111,0.7753656270446745,0.029622366013953932,0.00032549101395393243,True,True,True,True,True,True,True,True,True,False
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_1,0.6332457861571336,0.6171299182181093,0.588236053743855,0.5768768785400136,0.696074308900946,0.6863613749657775,0.0009618675332050094,0.006571047696898429,0.04758602123413083,0.018289146234130832,True,True,True,True,True,True,True,True,True,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_2,0.3288078527615244,0.36399057627877146,0.30931083120629244,0.3400555384194901,0.30716039170477527,0.3104614015313263,0.0037937956643442523,0.008641575179399823,0.01750127599893511,0.010819036501064892,True,True,True,True,True,True,True,True,True,False
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_2,0.07190365729804445,0.10195732461052352,0.07034087424164395,0.09981547210132785,0.04522899469031229,0.05068919893214937,0.993451892131218,0.8878792139162084,0.002497218268507441,0.006780125481492559,True,True,True,True,True,True,True,True,False,False
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_3,0.36657702355596783,0.34366928697469223,0.34956089567189885,0.33014568794870697,0.4133287703594689,0.3924427668362011,0.0037937956643442888,0.008709952739239427,0.06476423358741704,0.026678296087417033,True,True,True,True,True,True,True,True,True,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_3,0.1807055813291162,0.20597415042555595,0.17359718539115926,0.19764067702581523,0.159061603171685,0.16418338174829783,0.8596895106137399,0.7630644231903474,0.017377284715086358,0.00028744096508635797,True,True,True,True,True,True,True,True,True,False
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_4,0.18723033262592137,0.31172740891895234,0.1830306377358956,0.2873699119514791,0.23709851324394243,0.2482156225669702,0.003793795664344465,0.009578771848710473,0.013803658367551656,0.0008447791324483443,True,True,True,True,True,True,True,True,True,False
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_4,0.3372145626899861,0.332490914712922,0.3251221718928374,0.3209850673622856,0.36657518930492644,0.36438369153548456,0.6207442360706951,0.5367133679389342,0.07333376342031016,0.04745485717031016,True,True,True,True,True,True,True,True,True,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_5,0.20079856312278074,0.19971857936211448,0.19376177092014493,0.19315720911459489,0.1983141883646139,0.1939548919174826,0.8806062043357111,0.7730792228132598,0.031286726883884064,0.010217179366115936,True,True,True,True,True,True,True,True,True,False
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_5,0.434316093359859,0.4026674781337313,0.4034037225453368,0.3825695763066957,0.42629499250877645,0.4074571123672321,0.05806818798925865,0.057302818854679846,0.009321062692728324,0.025346906057271676,True,True,True,True,True,True,True,True,False,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_6,0.8107873157288495,0.7878535987774319,0.7259405171873939,0.711934608591609,0.8990407782868325,0.8808087287870884,0.0037937956643441565,0.008680781741787593,0.019935918699794247,0.03165466869979425,True,True,True,True,True,True,True,True,True,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_6,0.35006101633685116,0.32568030318774377,0.33413552755742626,0.31381230817013517,0.35186768219225606,0.3397829673569053,0.4591172773452246,0.3953958014795995,0.0345991454978141,0.0267866454978141,True,True,True,True,True,True,True,True,True,True
ae_8_Mutant_Add_ch_P10_Q0_[].qasm,PureState_7,0.15943483598115585,0.20557887696165328,0.15097186891195602,0.19352858558793568,0.11142866496461612,0.12614084967432676,0.8806062043357116,0.7747047983990847,0.0012252101781494752,0.014408803928149475,True,True,True,True,True,True,True,True,False,True
