Metric,Nature,Categorical Variable,Target,Test,Stat,p-value,significant_pairs,not-significant_pairs,Effect Size (r),Strength
F,Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,416403.98756945797,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.30922569191233085,Strong
F,Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,287198034816.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.2455612746219293,Weak
F,Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,253060901536.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.10085685770789111,Weak
F,Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,166458111568.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.2300253556684531,Weak
E,Equivalent mutant,Algorithm,ideal_distance,Kruskal–Wallis,161306.03963324658,0.0,"['ae - qft: p-val: 0.003592379601684165', 'ae - qftentangled: p-val: 4.97575362004338e-07', 'ae - qpeexact: p-val: 1.0222646009627268e-183', 'ae - vqe: p-val: 1.622301758881361e-33', 'ae - wstate: p-val: 0.0', 'qft - qpeexact: p-val: 7.11103528385515e-115', 'qft - vqe: p-val: 3.1656147555215594e-15', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 9.638664922048035e-109', 'qftentangled - vqe: p-val: 6.48345813126474e-11', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 8.254793473882229e-49', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",['qft - qftentangled: p-val: 0.0874672176193637'],0.11978517497823873,Moderate
E,Equivalent mutant,Output_type,ideal_distance,Mann–Whitney U,258076509736.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.1334836796241158,Weak
E,Equivalent mutant,Input_type,ideal_distance,Mann–Whitney U,202751049136.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.09136441152367326,Negligible
E,Equivalent mutant,Gate_type,ideal_distance,Mann–Whitney U,236775864864.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.03864199608289802,Negligible
E,Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,395626.3353578363,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.014077535255073376', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.29379581798551024,Strong
E,Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,189579859200.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.13013369056481444,Weak
E,Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,237363369768.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.04088054419662821,Negligible
E,Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,210961246288.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.05998950000728895,Negligible
H,Non-Equivalent mutant,Algorithm,ideal_distance,Kruskal–Wallis,364692.56632500526,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.2572523121930645,Strong
