gates,depth,singlequbit_gates,multiqubit_gates,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE,Input_type,Algorithm,Qubits_number,Operator,Gate,Position,Qubits,Params,Gate_type,Relative_position,Output_type
42,30,21,21,PureState_4,0,1,0.0252800898022097,0.0616857475218841,0.0252513122504886,0.0590485646057516,2.8574910585508003e-16,0.0171011514373852,1.0000000000000098,0.9478287131610036,0.0020158913809774,0.0059221413809774,False,False,False,False,False,False,False,False,False,False,False,False,PureState,ae,6,Add,ch,27,2,,Multi_qubit,post_middle,Dominant
13,9,4,9,Quratest_12,0,1,0.0151579132440415,0.0401840960119917,0.0151529327718287,0.0400768194153288,0.0,0.0178347452683034,1.0000000000000018,0.9418305396297352,0.0119829029179359,0.026103034582064,False,False,False,False,False,False,False,False,False,False,True,False,Quratest,qft,4,Add,swap,10,0,,Multi_qubit,end,Diverse
25,13,6,19,Quratest_14,0,1,0.0313514872067628,0.0990665949507206,0.0298114454793354,0.098149069111502,2.0342343261259277e-17,0.0275433297467199,1.000000000000009,0.9167340456076848,0.0351159322083602,0.0181067240416397,False,False,False,False,False,False,False,False,False,False,True,False,Quratest,qft,6,Add,rxx,15,5,6.283185307179586,Multi_qubit,post_middle,Diverse
14,8,9,5,PureState_0,0,1,0.4664006402785933,0.4450222348228546,0.4542071546083472,0.4346199804091378,0.5880307923583574,0.5780818434035482,0.5016539657431881,0.4915108705802102,1.1342131047892805,1.0668302922892805,False,False,True,True,True,True,True,True,True,False,True,True,PureState,vqe,3,Add,ch,3,1,,Multi_qubit,pre_middle,Dominant
8,6,5,3,PureState_0,0,1,0.0072011589504351,0.007113422214957,0.0072010940692478,0.0071133092485815,0.0,0.0016432657427104,0.9999999999999992,0.9952530573984172,0.0158984374999999,0.000703125,False,False,False,False,False,False,False,False,False,False,True,False,PureState,ae,2,Add,cz,2,0,,Multi_qubit,pre_middle,Dominant
19,9,12,7,PureState_12,0,1,0.0075061520767692,0.1611841637008292,0.0075048122693667,0.1406639923503629,3.85138497298827e-06,0.0135522365260861,0.999999988873203,0.983558596263822,0.0184073717266789,0.001123878273321,False,False,False,False,False,False,True,False,True,False,True,False,PureState,vqe,4,Remove,cx,5,1,,Multi_qubit,pre_middle,Dominant
25,13,6,19,Quratest_24,0,1,0.1039675793872372,0.1077493132318211,0.1037998046509902,0.1074219381511807,0.1276772889616758,0.1266731548527117,0.5521445393002246,0.5120015727497143,0.0087967611987735,0.0253983236987735,False,False,True,False,True,False,True,True,True,False,False,False,Quratest,qft,6,Add,y,0,5,,Single_qubit,beginning,Diverse
42,30,21,21,Quratest_27,0,1,0.3638038191265789,0.3217181778972718,0.3493356931608921,0.3115988706190655,0.3792549820754696,0.3716344724403927,0.0146905417853115,0.0172376547646504,0.0431179770162225,0.0382351645162225,False,False,True,False,True,True,True,True,True,True,True,False,Quratest,ae,6,Add,t,21,5,,Single_qubit,middle,Dominant
10,7,5,5,Quratest_2,0,1,0.2672517245977835,0.2158006502098316,0.259795480424342,0.21173789828817,0.2786891745306146,0.2643541533036828,0.855719015727697,0.827660093561359,0.5683701188091121,0.4550888688091121,False,False,True,False,True,False,True,True,True,False,True,True,Quratest,wstate,3,Add,rxx,3,2,0.7853981633974483,Multi_qubit,pre_middle,Diverse
29,11,18,11,PureState_5,0,1,0.9158459374121556,0.9122625691206256,0.7953239407868361,0.79283536162443,0.9745357010605458,0.9742193617192058,0.0254789715890544,0.0256603994234013,1.1532635522063197,0.9892010522063196,False,False,True,True,True,True,True,True,True,True,True,True,PureState,vqe,6,Remove,cx,17,4,,Multi_qubit,post_middle,Dominant
32,24,17,15,PureState_2,0,1,0.1366620010109287,0.1343766510046611,0.1337242948660922,0.1315975148556044,0.0676024473172786,0.0713877065383081,0.8198014698291273,0.8060386943946837,0.0339143990811763,0.0119840384188236,False,False,True,False,True,False,True,False,True,False,True,False,PureState,ae,5,Remove,cp,25,1,,Multi_qubit,end,Dominant
18,11,9,9,PureState_12,0,1,0.0044623388650392,0.2148682049834157,0.0044623250451919,0.1798454069693503,2.498001805406602e-16,0.0219579958668898,0.3600000000000036,0.3483936261187442,2.220446049250313e-16,0.1474609375000002,False,False,False,False,False,False,False,False,True,False,False,True,PureState,wstate,5,Add,ch,11,1,,Multi_qubit,post_middle,Diverse
25,13,6,19,Quratest_17,0,1,0.0322155364900726,0.0834743223035881,0.0311748693173292,0.0817700961115234,9.845910978883987e-17,0.0254170428667464,1.000000000000011,0.9208039609776046,0.0112994275204844,0.0254595837704844,False,False,False,False,False,False,False,False,False,False,False,False,Quratest,qft,6,Add,h,5,3,,Single_qubit,pre_middle,Diverse
