gates,depth,singlequbit_gates,multiqubit_gates,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE,Input_type,Algorithm,Qubits_number,Operator,Gate,Position,Qubits,Params,Gate_type,Relative_position,Output_type
42,30,21,21,PureState_4,0,1,0.0339932227904808,0.0912741301803407,0.0339548171096365,0.0892743979040599,0.0,0.0151976704859937,1.0000000000000102,0.9545357952419918,0.0020158913809774,0.0142229226309774,False,False,False,False,False,False,False,False,False,False,False,False,PureState,ae,6,Add,rz,17,5,0.0,Single_qubit,middle,Dominant
13,9,4,9,Quratest_12,0,1,0.0085155512182005,0.0596257545755479,0.0085149102627935,0.0594291034005101,0.0,0.0212241574699121,1.0000000000000018,0.9299878734633268,0.0119829029179359,0.073466315832064,False,False,False,False,False,False,False,False,False,False,True,True,Quratest,qft,4,Add,ry,7,2,0.0,Single_qubit,post_middle,Diverse
25,13,6,19,Quratest_14,0,1,0.026939397492331,0.1113714599195162,0.0260442910938281,0.110416985683992,0.0,0.0253810221615966,1.0000000000000098,0.8994996312606504,0.0351159322083602,0.0024010884583602,False,False,False,False,False,False,False,False,False,False,True,False,Quratest,qft,6,Add,z,4,4,,Single_qubit,beginning,Diverse
14,8,9,5,PureState_0,0,1,0.1596396770813467,0.0984467568274339,0.1516866060304364,0.0974364902806132,0.0906309611530501,0.0886736485736637,0.7943586856389941,0.7897822126393789,0.0430329889607198,0.0541349797892801,False,False,True,False,True,False,True,True,True,False,True,True,PureState,vqe,3,Replace,t,0,0,,Single_qubit,beginning,Dominant
8,6,5,3,PureState_0,0,1,0.0091182325196088,0.022804534161366,0.0091179680039577,0.0227997164033025,0.0,0.0013709116293202,0.9999999999999992,0.9965140148837812,0.0158984374999999,0.03146484375,False,False,False,False,False,False,False,False,False,False,True,True,PureState,ae,2,Add,z,0,0,,Single_qubit,beginning,Dominant
19,9,12,7,PureState_12,0,1,0.1869574598093973,0.2705712851612727,0.1739749877363389,0.2452622161326158,0.2136724355854536,0.2143387066618046,2.6677943943436733e-16,0.0027781070051291,0.360010597023321,0.308741065773321,False,False,True,True,True,True,True,True,True,True,True,True,PureState,vqe,4,Add,x,0,0,,Single_qubit,beginning,Dominant
25,13,6,19,Quratest_24,0,1,0.2677623233361811,0.2636556123004308,0.2606195112094742,0.2579919628311953,0.2179896627754078,0.2308821388297435,0.036105017624784,0.0422153164569587,0.0078201986987735,0.0092850424487735,False,False,True,True,True,True,True,True,True,True,False,False,Quratest,qft,6,Replace,cx,12,3,,Multi_qubit,middle,Diverse
42,30,21,21,Quratest_27,0,1,0.3234109856676257,0.2916137585666906,0.3084539349143254,0.2812947682966109,0.3160449865793324,0.3112224600739935,0.6664093785121458,0.6386003344656662,0.0735812417337774,0.0276828042337774,False,False,True,True,True,True,True,True,True,False,True,False,Quratest,ae,6,Add,ch,38,0,,Multi_qubit,end,Dominant
10,7,5,5,Quratest_2,0,1,0.1837065238132064,0.1798274500073664,0.182838895705503,0.1790182318335739,0.2383858634381268,0.2382396169047764,0.9145377429693868,0.8967215910125923,0.0258896500591121,0.0410048811908878,False,False,True,False,True,False,True,True,True,False,True,True,Quratest,wstate,3,Remove,ry,4,1,,Single_qubit,middle,Diverse
29,11,18,11,PureState_5,0,1,0.9180640283608952,0.912119130756244,0.7968314428293554,0.7926844583212157,0.9745357010605458,0.9721826061618152,0.0254789715890544,0.0277738536434746,1.1532635522063197,0.9657635522063196,False,False,True,True,True,True,True,True,True,True,True,True,PureState,vqe,6,Remove,cx,17,4,,Multi_qubit,post_middle,Dominant
32,24,17,15,PureState_2,0,1,0.4354163973426437,0.4054669318116089,0.4171587138117806,0.3913287071167782,0.4780958879795925,0.4741666063933989,0.2830961376843685,0.2786082587674703,0.1809293509188236,0.2058316946688236,False,False,True,True,True,True,True,True,True,False,True,True,PureState,ae,5,Replace,swap,26,0,,Multi_qubit,end,Dominant
18,11,9,9,PureState_12,0,1,1.0,0.8118081762076798,0.8325546111576977,0.7102857114305161,1.0000000000000004,0.9952452808724728,3.7828855195236353e-16,0.0015289209424245,2.0,1.7543945312500002,False,False,True,True,True,True,True,True,True,True,True,True,PureState,wstate,5,Remove,x,4,4,,Single_qubit,pre_middle,Diverse
25,13,6,19,Quratest_17,0,1,0.0339370353288442,0.1096952997746069,0.0333739632135172,0.1061000795401861,3.452472411690638e-16,0.028900106288009,1.000000000000011,0.9075075047576772,0.0112994275204844,0.0508502087704844,False,False,False,False,False,False,False,False,False,False,False,True,Quratest,qft,6,Add,ch,10,5,,Multi_qubit,middle,Diverse
23,13,6,17,PureState_12,0,1,0.2553041026806918,0.2246536321364403,0.2438152775870986,0.2162771790071543,0.2428406308323591,0.2322768229489438,0.8535533905932783,0.7600686222277978,0.0171087452145301,0.0053899952145301,False,False,True,False,True,False,True,True,True,False,True,False,PureState,qftentangled,5,Add,p,10,2,0.7853981633974483,Single_qubit,middle,Diverse
23,18,13,10,PureState_9,0,1,0.0130207662233163,0.0269450115014174,0.0130163795821388,0.0269150607784877,1.0495077029659683e-16,0.0034721254354027,0.9999999999999996,0.9858690579893008,0.027368369464563,0.037133994464563,False,False,False,False,False,False,False,False,False,False,True,True,PureState,ae,4,Add,rx,15,2,6.283185307179586,Single_qubit,post_middle,Dominant
32,24,17,15,Quratest_15,0,1,0.4562073855596062,0.4249440131586184,0.439736655907854,0.4124754643328386,0.5306991288220536,0.5267572561807052,0.3208693911128949,0.3146998082607547,0.0428892707875896,0.0546080207875896,False,False,True,True,True,True,True,True,True,False,True,True,Quratest,ae,5,Replace,swap,26,0,,Multi_qubit,end,Dominant
18,11,5,13,Quratest_14,0,1,0.0264230511488688,0.104260528566062,0.024534631698467,0.1006705389468556,0.0,0.0248458574117144,1.0000000000000062,0.9310712336119504,0.0277000700181851,0.0714210237318148,False,False,False,False,False,False,False,False,False,False,True,True,Quratest,qft,5,Add,swap,6,4,,Multi_qubit,pre_middle,Diverse
18,11,5,13,PureState_8,0,1,0.0215259238243735,0.0151684481437409,0.0215240333784659,0.0151675238108499,2.376571162088225e-16,0.0032296702982499,1.0000000000000062,0.9346354898184276,0.0063476562499999,0.0078124999999999,False,False,False,False,False,False,False,False,False,False,False,False,PureState,qft,5,Add,ch,10,4,,Multi_qubit,post_middle,Diverse
22,13,11,11,Quratest_11,0,1,0.3997906696046533,0.4383249069923551,0.3428819199388514,0.3830968923264854,0.2770950351139357,0.2835734102157367,0.4467357784952517,0.4265121483264333,0.000642311234664,0.2444748762653359,False,False,True,True,True,True,True,True,True,False,False,True,Quratest,wstate,6,Replace,rx,15,0,4.71238898038469,Single_qubit,post_middle,Diverse
25,13,6,19,PureState_8,0,1,0.0313370529549955,0.0301605537870848,0.0313304812170631,0.0301507493132856,0.0,0.0053400935789022,1.000000000000012,0.9175744354792312,0.0185546875,0.00537109375,False,False,False,False,False,False,False,False,False,False,True,False,PureState,qft,6,Add,y,3,5,,Single_qubit,beginning,Diverse
18,11,5,13,Quratest_10,0,1,0.4068943051008709,0.3553133417398577,0.3843556053562382,0.3436590299883962,0.417959126840223,0.4053880974589431,0.5712283545640713,0.5322628134624221,0.1480941910584701,0.1246566910584701,False,False,True,True,True,True,True,True,True,False,True,True,Quratest,qft,5,Replace,rz,9,1,3.9269908169872414,Single_qubit,middle,Diverse
42,30,21,21,PureState_1,0,1,0.0303378319631468,0.0782181277840064,0.0295363783899449,0.0772243919576294,1.9491922182215962e-16,0.0105008259304302,1.0000000000000109,0.952087643609814,0.0112261469594452,0.0151323969594452,False,False,False,False,False,False,False,False,False,False,False,False,PureState,ae,6,Add,ch,10,1,,Multi_qubit,pre_middle,Dominant
31,15,7,24,Quratest_24,0,1,0.0282759022046492,0.1052113294022385,0.0279720320600179,0.101367634850637,9.160830731144708e-17,0.0459389526454709,1.0000000000000109,0.8671378585084385,0.0003295205485821,0.0257201455485821,False,False,False,False,False,False,False,True,False,False,False,False,Quratest,qftentangled,6,Add,h,20,1,,Single_qubit,post_middle,Diverse
18,11,5,13,PureState_14,0,1,0.0244136621332475,0.0219165160891363,0.0244109924131672,0.0219138209267388,0.0,0.003244945602147,1.0000000000000049,0.9350436891295668,0.00634765625,0.0087890625,False,False,False,False,False,False,False,False,False,False,False,False,PureState,qft,5,Add,id,0,4,,Single_qubit,beginning,Diverse
42,30,21,21,Quratest_27,0,1,0.477318375559964,0.4616795624173725,0.4552220626084398,0.4422438633263836,0.54313658821853,0.5360566696430268,0.0181846368531306,0.0195623638156282,0.2022976645162225,0.1549343832662225,False,False,True,True,True,True,True,True,True,True,True,True,Quratest,ae,6,Replace,y,2,2,,Single_qubit,beginning,Dominant
31,15,7,24,Quratest_26,0,1,0.0332604641021316,0.1099607039709806,0.0332472233550002,0.1082546931209515,0.017955585647808,0.0469091206151696,0.9981452382740564,0.8670296652393198,0.011009514850332,0.004173577350332,False,False,False,False,False,False,True,True,True,False,False,False,Quratest,qftentangled,6,Remove,cp,21,5,,Multi_qubit,post_middle,Diverse
23,18,13,10,Quratest_4,0,1,0.0119235672289764,0.0855865235158948,0.0119172599408618,0.0843490819822191,0.0,0.0075699168464732,1.000000000000001,0.9783486209426964,0.0222899921925247,0.0486571796925247,False,False,False,False,False,False,False,False,False,False,True,True,Quratest,ae,4,Add,id,0,0,,Single_qubit,beginning,Dominant
28,15,11,17,Quratest_17,0,1,0.7237546974768523,0.7243620229907997,0.6190013010802016,0.6222508801424638,0.0,0.0411384976864937,1.000000000000013,0.9118818165992892,0.0065282048605791,0.0305811701394208,False,False,True,True,True,True,False,True,False,False,False,False,Quratest,qpeexact,6,Add,p,11,5,0.0,Single_qubit,middle,Dominant
22,14,9,13,PureState_9,0,1,0.5077185852289618,0.5028640627856559,0.4569347097800801,0.4512605049447949,0.5192902537373686,0.5189664745313216,0.0214466094067274,0.0275382315266807,0.0175781249999999,0.0068359375,False,False,True,True,True,True,True,True,True,True,True,False,PureState,qpeexact,5,Add,ch,10,0,,Multi_qubit,middle,Dominant
32,24,17,15,Quratest_11,0,1,0.0158047241475399,0.0765716646000359,0.0158022775066211,0.0756038190264021,1.7683337433238575e-16,0.0072658034295353,1.0000000000000049,0.9778235601554268,0.0230505266526804,0.0098669329026804,False,False,False,False,False,False,False,False,False,False,True,False,Quratest,ae,5,Add,p,12,4,6.283185307179586,Single_qubit,pre_middle,Dominant
23,13,6,17,Quratest_3,0,1,0.0896660570623285,0.1406622093573827,0.0878567398751836,0.1356115525075945,0.0332345155150839,0.0646933914632127,0.95962752725624,0.8565646368977735,0.0151396233805114,0.0947294671305114,False,False,True,False,True,False,True,True,True,False,True,True,Quratest,qftentangled,5,Remove,cp,8,4,,Multi_qubit,pre_middle,Diverse
29,11,18,11,PureState_28,0,1,0.0115765819599682,0.2420798568895359,0.0108897300086412,0.2061652241647549,0.0,0.0226400258444055,1.0000000000000138,0.971167559373072,0.0119417689330999,0.0188199498169,False,False,False,False,False,False,False,False,False,False,True,False,PureState,vqe,6,Add,rxx,21,0,0.0,Multi_qubit,post_middle,Dominant
31,15,7,24,PureState_28,0,1,0.0266729629324652,0.1236120387561826,0.0263187800637637,0.1173100270836606,0.0,0.0490813991586977,1.0000000000000115,0.86544826270138,0.0021081687822346,0.0055261375322346,False,False,False,False,False,False,False,True,False,False,False,False,PureState,qftentangled,6,Add,id,26,0,,Single_qubit,end,Diverse
28,15,11,17,PureState_14,0,1,0.0105622252923417,0.2454441716289726,0.0105607792095027,0.2095247251562517,0.0,0.0402926949551527,1.000000000000011,0.9262427602660672,0.0195312499999999,0.00244140625,False,False,False,False,False,False,False,True,False,False,True,False,PureState,qpeexact,6,Add,z,26,4,,Single_qubit,end,Dominant
29,11,18,11,PureState_17,0,1,0.5602243551146828,0.6060588598433925,0.4817604447110669,0.5236130195771043,0.5364016142777653,0.5369649246998353,0.4635152371978739,0.4629546092068017,1.0854490329536,1.0825193454536,False,False,True,True,True,True,True,True,True,False,True,True,PureState,vqe,6,Replace,h,16,5,,Single_qubit,middle,Dominant
18,11,9,9,PureState_14,0,1,0.0070435566226441,0.2687619035710081,0.0070434073938582,0.2255879504226276,0.0,0.0130444237123489,0.1600000000000023,0.1598966102244665,2.220446049250313e-16,0.2446289062500002,False,False,False,True,False,False,False,False,True,False,False,True,PureState,wstate,5,Add,cz,16,0,,Multi_qubit,end,Diverse
29,11,18,11,PureState_16,0,1,0.0062443543349512,0.2503201213303914,0.0062439101688974,0.2118486559284634,1.3644710779747068e-18,0.0188908196780615,1.000000000000011,0.9714835379371116,0.0132263613199129,0.002886919930087,False,False,False,False,False,False,False,False,False,False,True,False,PureState,vqe,6,Add,h,12,1,,Single_qubit,middle,Dominant
31,15,7,24,PureState_9,0,1,0.4421649681987185,0.3696372054662096,0.408336334862981,0.3505426453904743,0.4077150703057808,0.3882562927277502,0.2500000000000066,0.2259459466661414,0.0134466265055834,0.0241888140055835,False,False,True,True,True,True,True,True,True,False,True,False,PureState,qftentangled,6,Remove,cx,4,2,,Multi_qubit,beginning,Diverse
42,30,21,21,Quratest_27,0,1,0.0310321735168659,0.0943186557940947,0.0309878439039464,0.0915372873793802,2.5642736631997787e-16,0.0135359386693478,1.000000000000013,0.9529501665399198,0.0050320395162225,0.0260281332662225,False,False,False,False,False,False,False,False,False,False,False,False,Quratest,ae,6,Add,h,2,2,,Single_qubit,beginning,Dominant
25,13,6,19,PureState_1,0,1,0.5414124867020207,0.3700655753515187,0.4647647236539464,0.359441834038517,0.4999999999999999,0.4902537880112076,0.5000000000000094,0.4604682181103565,0.00634765625,0.0004882812499999,False,False,True,True,True,True,True,True,True,False,False,False,PureState,qft,6,Replace,ry,2,4,3.141592653589793,Single_qubit,beginning,Diverse
42,30,21,21,Quratest_15,0,1,0.027080331060029,0.0986260950270989,0.0270539514476829,0.0976362237712134,1.037039377982385e-16,0.023398003437537,1.000000000000011,0.944602522830022,0.0244363413068786,0.0702902211931214,False,False,False,False,False,False,False,False,False,False,True,True,Quratest,ae,6,Add,h,30,3,,Single_qubit,post_middle,Dominant
