,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
0,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_0,0.0,0.0,0.4172557611015052,0.806679888852662,0.4047285943895775,0.7257111203970138,0.48616014091069454,0.9593028017183688,3.887773300530167e-16,0.03394255146267983,0.43115234375,1.02392578125,True,True,True,True,True,True,True,True,True,True,True,True
1,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_0,0.0,0.0,0.5049873609953887,0.8585363319608083,0.4848317337283084,0.7568796960884522,0.6057213222057798,0.9740323146058625,0.0027884581483560954,0.01909312384738126,0.28271484375,1.0693359375,True,True,True,True,True,True,True,True,True,True,True,True
2,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_1,0.0,0.0,0.41375746031244887,0.8771290536444436,0.4016014641323816,0.7727620867152201,0.4861601409106946,0.9858261454511745,3.653461688509547e-16,0.00870650378238579,0.42919921875,1.01513671875,True,True,True,True,True,True,True,True,True,True,True,True
3,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_1,0.0,0.0,0.3241955146405357,0.8947867521206646,0.31737266679936776,0.7775630034249644,0.379018448582605,0.9828539498046462,0.37967237600752163,0.01016026271530033,0.24072265625,0.53955078125,True,True,True,True,True,True,True,True,True,True,True,True
4,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_2,0.0,0.0,0.4274164108570805,0.7873458123319801,0.41287220552921056,0.7049663345972167,0.4861601409106946,0.9239675937182552,4.4108588744884236e-16,0.06870237158935202,0.42919921875,0.5859375,True,True,True,True,True,True,True,True,True,True,True,True
5,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_2,0.0,0.0,0.31425412326408875,0.8929500227371283,0.30644122323832873,0.7746074957107676,0.35184250012155793,0.9870901921324728,0.6044548749343404,0.006027646251465531,0.12353515625,0.96484375,True,True,True,True,True,True,True,True,True,True,True,True
6,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_3,0.0,0.0,0.3924209320732029,0.8696198871972127,0.3813832317887114,0.7632683467804823,0.4407027103530001,0.9648820016718688,3.8963960936713385e-16,0.02794193323599875,0.158203125,0.7646484375,True,True,True,True,True,True,True,True,True,True,True,True
7,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_3,0.0,0.0,0.4585584072427075,0.9366278772032232,0.43071498744380354,0.7993262290731881,0.5037632063325941,0.9917964829341012,0.1996748280239698,0.001264643925231066,0.04541015625,0.763671875,True,True,True,True,True,True,True,True,True,True,True,True
8,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_4,0.0,0.0,0.5579979754014253,0.9212995924682202,0.525258737072165,0.7954091683517449,0.6087069757623856,0.9889185237461477,3.971580530010836e-16,0.0055042158502692385,0.0146484375,0.8896484375,True,True,True,True,True,True,True,True,True,True,True,True
9,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_4,0.0,0.0,0.4575213584889432,0.9457197287378951,0.42493518511762784,0.7949197306545874,0.45126250998328193,0.9926158411606592,0.3036393221003603,0.0004842192568597653,0.02734375,0.8837890625,True,True,True,True,True,True,True,True,True,True,True,True
10,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_5,0.0,0.0,0.4171378285866259,0.8456085859876591,0.4049718022692375,0.7537141997137056,0.4861601409106946,0.9779705484892298,4.2239013225804514e-16,0.015387672688907809,0.40478515625,1.14111328125,True,True,True,True,True,True,True,True,True,True,True,True
11,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_5,0.0,0.0,0.37900621242521604,0.9230513312039454,0.36193971473292963,0.7934870434805633,0.391753868742297,0.9888339339424252,0.09176935739375212,0.00415215903863701,0.001953125,0.833984375,True,True,True,True,True,True,True,True,True,True,True,True
12,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,PureState_6,0.0,0.0,0.3852464933099394,0.811586245389099,0.37425198751251376,0.7214794202190681,0.44070271035300007,0.9298535713793064,3.950286987065367e-16,0.06279291097962099,0.18212890625,0.80078125,True,True,True,True,True,True,True,True,True,True,True,True
13,ae_5_Mutant_Add_sx_P1_Q1_[].qasm,Quratest_6,0.0,0.0,0.3996003857477196,0.8779365665227422,0.38550097864688376,0.7686090963388654,0.4228168626840372,0.9839146941699181,0.027802420526683396,0.009238961089609497,0.04443359375,0.85791015625,True,True,True,True,True,True,True,True,True,True,True,True
