,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF
0,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,PureState_0,0.9999920211543921,0.0,1.0,0.937533610294062,0.8325546111576977,0.8092195709185122,1.0,0.9739282308339047,0.0,0.031134096619112896,False,True,True,True,False,False,True,True,True,True
1,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,Quratest_0,4.62475420655934e-209,7.759963254314568e-212,0.31373899048361276,0.3152411911430532,0.3110467353210402,0.3125083622029,0.46144560326557127,0.44653641185487947,0.09718291457974938,0.1332507319497035,True,True,True,True,False,False,True,True,True,True
2,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,PureState_1,0.9999920211543921,0.0,1.0,0.9220250890818954,0.8325546111576977,0.799475399561895,1.0,0.9739282308339048,0.0,0.031036414125340472,False,True,True,True,False,False,True,True,True,True
3,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,Quratest_1,7.209692083855325e-88,0.5988834874126419,0.21384924334993355,0.22810859739383635,0.2130147081928376,0.22709587192928476,0.49794423214876626,0.4842690733521493,0.19967482802398687,0.23250544490300395,True,False,True,True,False,False,True,True,True,True
4,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,PureState_2,0.9999920211543921,0.0,1.0,0.9185586535436917,0.8325546111576977,0.7971653282805244,1.0,0.974309140612497,0.0,0.030269224548189432,False,True,True,True,False,False,True,True,True,True
5,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,Quratest_2,1.1692814600552168e-58,0.6506876067764027,0.17542926126455058,0.18883025047206944,0.17497189331768584,0.18826004708646288,0.2578932123328602,0.24596678016407308,0.0009115166871050715,0.05610668380529695,True,False,True,True,False,False,True,True,True,True
6,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,PureState_3,0.9999920211543921,0.0,1.0,0.9274943403634671,0.8325546111576977,0.8030266786659291,1.0,0.9743091406124968,0.0,0.03036602782400311,False,True,True,True,False,False,True,True,True,True
7,qpeexact_2_Mutant_Remove_x_P1_Q1.qasm,Quratest_3,0.9129789280022043,0.18234155749245373,0.6532135781931419,0.6386543050978523,0.6243739300776453,0.6119484973241751,0.9637376503391292,0.9372623978628777,0.04980048584661543,0.08351021234030691,False,False,True,True,False,False,True,True,True,True
8,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,PureState_0,0.0,0.0,0.5418340062084677,0.4616404855240862,0.46507881513576865,0.4312542077877796,0.4999999999999999,0.48406872813958085,0.5000000000000003,0.5224663656438092,True,True,True,True,False,False,True,True,True,True
9,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,Quratest_0,2.216460333906334e-194,5.0284269250743654e-197,0.01899661983991314,0.020537250370835806,0.01899556703515281,0.020535913034657165,0.06692810592211985,0.06491480568827729,0.5430669672572348,0.5640903006825364,True,True,True,False,False,True,True,True,True,True
10,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,PureState_1,0.0,0.0,0.5571109491521328,0.45785489819766667,0.4789315820521471,0.4323617170479324,0.4999999999999999,0.48427952370692334,0.5000000000000001,0.5219912526237291,True,True,True,True,False,False,True,True,True,True
11,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,Quratest_1,2.2901399374361285e-274,2.6096113817710343e-59,0.22556523768974093,0.21130179712814837,0.222813943893488,0.20891231329210208,0.24753103194922604,0.239446416127993,0.5643627943620024,0.5830567467910389,True,True,True,True,False,False,True,True,True,True
12,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,PureState_2,0.0,0.0,0.5431094403594869,0.4391113117395448,0.4662335446756557,0.4158378008696356,0.5000000000000001,0.485718936587315,0.4999999999999999,0.5209565987841073,True,True,True,True,False,False,True,True,True,True
13,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,Quratest_2,1.805959477209617e-209,4.764040350815571e-53,0.3592433232902793,0.37229702910726625,0.3537026462350391,0.36631859749314405,0.498144378983161,0.47436123566518246,0.559387763744885,0.5879512166197115,True,True,True,True,False,False,True,True,True,True
14,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,PureState_3,0.0,0.0,0.537365874152504,0.4444114929832023,0.4610361683340831,0.41842260608916165,0.5000000000000001,0.4855075144771602,0.5000000000000007,0.5212064347547213,True,True,True,True,False,False,True,True,True,True
15,qpeexact_2_Mutant_Replace_z_P0_Q0_[].qasm,Quratest_3,0.0,0.0,0.1945932431728455,0.1783699594762719,0.19231383698798662,0.176731970454955,0.2048528739213849,0.1982322933457894,0.562422441553872,0.5819844783430501,True,True,True,True,False,False,True,True,True,True
16,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,PureState_0,,0.0,0.0,0.08573936731871223,0.0,0.07144075735878931,0.0,0.011213648490024196,0.9999999999999996,0.9979177167931421,False,True,False,True,True,False,False,True,False,True
17,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,Quratest_0,2.0880182623421276e-54,1.3822999438690607e-55,0.1592223994666361,0.16075328926050136,0.1588069039676385,0.16032408584725896,0.21317067478136986,0.20988176229385108,0.4529554823857083,0.47181088408640437,True,True,True,True,False,False,True,True,True,True
18,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,PureState_1,,0.0,0.0,0.10627440321039956,0.0,0.08858976855402347,0.0,0.011045411480650899,1.0,0.9979246044598993,False,True,False,True,True,False,False,True,False,True
19,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,Quratest_1,2.894733110820061e-07,1.2056309336933142e-135,0.25136319174803307,0.2655567292525259,0.2499647144972112,0.2639211409908326,0.3790591592195267,0.3710430546560164,0.17457533893074428,0.2006557396071901,True,True,True,True,False,False,True,True,True,True
20,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,PureState_2,0.9999920211543921,0.0,1.0,0.9185586535436917,0.8325546111576977,0.7971653282805244,1.0,0.980940082929646,5.731495380879399e-32,0.027882587597185156,False,True,True,True,False,False,True,True,True,True
21,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,Quratest_2,1.3494285606469265e-127,4.125498408234253e-17,0.11113046110538367,0.09765380340778675,0.11094231313749504,0.09752057121296702,0.120060910145692,0.11978892684611314,0.4269606845452602,0.45671828012058824,True,True,True,True,False,False,True,True,True,True
22,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,PureState_3,0.9999920211543921,0.0,1.0,0.9274943403634671,0.8325546111576977,0.8030266786659291,1.0,0.9803400402535907,3.178367633447057e-32,0.029206787213655067,False,True,True,True,False,False,True,True,True,True
23,qpeexact_2_Mutant_Replace_cx_P2_Q1_[].qasm,Quratest_3,0.6620189060582518,0.06482031894120208,0.6586023172856172,0.6440753298564377,0.628914305426649,0.6165262357854238,0.8227863485180755,0.8050758496334349,0.11365798743477516,0.14420457201147627,False,False,True,True,False,False,True,True,True,True
24,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,PureState_0,0.9999920211543921,0.0,1.0,0.937533610294062,0.8325546111576977,0.8092195709185122,1.0,0.9736513202362088,0.0,0.03175273910629121,False,True,True,True,False,False,True,True,True,True
25,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,Quratest_0,0.08162736093141207,0.10838993075965628,0.3394320171625776,0.34092755836076283,0.33598666816059675,0.3374363716905752,0.46144560326557127,0.4464461346001303,0.09718291457974938,0.13344887325236282,False,False,True,True,False,False,True,True,True,True
26,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,PureState_1,0.9999920211543921,0.0,1.0,0.9220250890818954,0.8325546111576977,0.799475399561895,1.0,0.9736513202362089,0.0,0.031654429547806305,False,True,True,True,False,False,True,True,True,True
27,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,Quratest_1,7.415904221353684e-67,0.035376076955044695,0.18529288264611612,0.19959527961773654,0.1847542409986949,0.19891791028832334,0.49794423214876626,0.48426088439245984,0.19967482802398687,0.2326531376825888,True,False,True,True,False,False,True,True,True,True
28,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,PureState_2,0.9999920211543921,0.0,1.0,0.9185586535436917,0.8325546111576977,0.7971653282805244,1.0,0.9742051414316006,0.0,0.030479744495591786,False,True,True,True,False,False,True,True,True,True
29,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,Quratest_2,0.09569670316347319,8.441226452473986e-69,0.17542926126455058,0.18883025047206944,0.17497189331768584,0.18826004708646288,0.2578932123328602,0.24587632496542214,0.0009115166871050715,0.05644284578075177,False,True,True,True,False,False,True,True,True,True
30,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,PureState_3,0.9999920211543921,0.0,1.0,0.9274943403634671,0.8325546111576977,0.8030266786659291,1.0,0.9742051414316005,0.0,0.030576790125153946,False,True,True,True,False,False,True,True,True,True
31,qpeexact_2_Mutant_Replace_id_P1_Q1_[].qasm,Quratest_3,0.8269899048436611,0.10072910422912545,0.6564321008104228,0.6418920698100069,0.6270901992589394,0.6146870908848254,0.9637376503391292,0.937165641878722,0.04980048584661543,0.08369994003329984,False,False,True,True,False,False,True,True,True,True
32,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,PureState_0,,0.0,0.0,0.08573936731871223,0.0,0.07144075735878931,0.5000000000000001,0.4853479603233302,0.4999999999999998,0.5223198093214821,False,True,False,True,True,False,True,True,True,True
33,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,Quratest_0,9.242492311199816e-58,5.529844758482731e-59,0.15853622092763428,0.16006719565147132,0.1581254600855923,0.15964282549197145,0.310066783176157,0.297399483577229,0.09897591621345686,0.1372467812411772,True,True,True,True,False,False,True,True,True,True
34,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,PureState_1,,0.0,0.0,0.10627440321039956,0.0,0.08858976855402347,0.5000000000000001,0.48617050646651816,0.5000000000000006,0.5216801131354845,False,True,False,True,True,False,True,True,True,True
35,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,Quratest_1,9.43223293073968e-134,1.0049929342086306e-07,0.2680624010374639,0.2822232206666987,0.2663294368917641,0.28022420179023794,0.5333820982945006,0.5177555414627821,0.5258203957301174,0.5449865372149613,True,True,True,True,False,False,True,True,True,True
36,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,PureState_2,0.9999920211543921,0.0,1.0,0.9185586535436917,0.8325546111576977,0.7971653282805244,1.0,0.9731770800730561,5.330938004898441e-32,0.03201776019098952,False,True,True,True,False,False,True,True,True,True
37,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,Quratest_2,3.4432962468824865e-115,6.959534163283942e-13,0.09608709091624418,0.08260056033839629,0.09597123856005471,0.08252384400248204,0.2844429250831038,0.2717647957248248,0.4921155478151142,0.5260529084943806,True,True,True,True,False,False,True,True,True,True
38,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,PureState_3,0.9999920211543921,0.0,1.0,0.9274943403634671,0.8325546111576977,0.8030266786659291,1.0,0.9718605807883557,2.6526603016483944e-32,0.03475417488508924,False,True,True,True,False,False,True,True,True,True
39,qpeexact_2_Mutant_Replace_rxx_P2_Q1_[4.71238898038469].qasm,Quratest_3,0.08037577596008809,0.002087503069112357,0.6720810947113497,0.6576363695723535,0.6401002775294262,0.6278053005056204,0.876014076608071,0.8498297306705705,0.059797701596926635,0.09670680083945664,False,True,True,True,False,False,True,True,True,True
40,qpeexact_2_Mutant_Add_cz_P2_Q1_[].qasm,PureState_0,,0.0,0.0,0.08573936731871223,0.0,0.07144075735878931,0.0,0.011679647098854466,0.9999999999999996,0.9987871635455453,False,True,False,True,True,False,False,True,False,True
41,qpeexact_2_Mutant_Add_cz_P2_Q1_[].qasm,Quratest_0,8.601078716947005e-57,5.29759128757406e-58,0.16265265401924173,0.16418311369680139,0.16221298511013102,0.16372924059753988,0.2131706747813698,0.20724348992091282,0.10682435542959723,0.15263407403182908,True,True,True,True,False,False,True,True,True,True
42,qpeexact_2_Mutant_Add_cz_P2_Q1_[].qasm,PureState_1,,0.0,0.0,0.10627440321039956,0.0,0.08858976855402347,0.0,0.009924058185604854,1.0,0.9990697035467365,False,True,False,True,True,False,False,True,False,True
43,qpeexact_2_Mutant_Add_cz_P2_Q1_[].qasm,Quratest_1,1.644833503378673e-141,1.4567701607051289e-09,0.2765566214622517,0.290699983797618,0.27462941813575725,0.28849133280490463,0.3790591592195267,0.3663598389849303,0.6463213206753743,0.6650435662574995,True,True,True,True,False,False,True,True,True,True
